SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1001,128,1189,0,101,25,3161,107,87,19,6,53,14,7,72,314,31,14,795,180,0,171,87,7,0,63,22,4005,25,12,888,11583
1002,110,1262,0,78,0,3251,77,48,12,8,37,10,10,35,274,18,8,901,194,0,87,51,3,0,46,9,4229,31,23,1131,11943
1003,186,2344,0,221,118,6043,263,80,46,12,117,3,46,138,591,64,12,1493,364,12,108,65,3,4,33,64,8316,76,18,2055,22895
1004,203,2478,0,179,36,5122,215,81,91,35,128,0,35,210,655,103,38,1385,496,6,149,122,0,3,57,77,9545,70,26,2412,23957
1005,23,749,0,50,0,1609,65,9,13,0,54,3,8,29,133,9,7,534,154,0,21,12,0,0,0,11,2876,9,14,682,7074
1006,18,768,0,59,3,1769,98,18,13,4,41,0,13,45,227,66,6,554,151,0,14,11,0,0,3,9,2541,19,0,568,7018
1007,14,419,0,48,0,996,23,11,4,0,30,3,0,40,138,31,0,305,103,0,0,0,0,4,0,12,1446,9,0,349,3985
1008,63,1803,0,156,3,3345,100,27,19,32,68,0,31,65,535,60,20,1096,212,0,36,54,0,0,17,24,5344,27,12,1350,14499
1009,34,764,0,43,0,1582,6,49,12,9,12,0,3,17,148,12,6,292,99,3,6,4,3,0,0,16,2124,8,0,601,5853
1010,42,929,0,56,0,1510,32,31,15,17,42,0,26,35,267,28,29,631,188,0,6,4,3,0,0,34,2813,25,18,941,7722
1011,164,1008,0,43,0,1600,3,84,14,0,30,3,12,17,216,3,3,327,102,0,28,18,9,0,10,72,3949,17,28,1109,8869
1012,22,687,0,54,0,1716,16,21,0,0,14,0,12,19,142,3,25,223,110,4,0,6,3,0,0,13,1841,6,6,664,5607
1013,33,634,3,26,0,509,9,9,3,3,8,0,13,8,110,21,0,296,51,8,0,0,3,0,0,18,1092,10,0,401,3268
1014,17,661,0,0,3,852,23,8,0,3,3,3,11,31,195,6,8,313,46,0,0,3,0,0,0,12,1330,11,0,815,4354
1015,26,556,0,38,0,905,19,23,34,0,15,0,18,28,171,3,7,222,73,0,5,0,3,0,0,14,1811,9,7,468,4455
1016,38,1532,0,63,0,1511,57,35,35,4,23,0,19,35,280,77,15,607,86,0,15,8,0,3,12,24,2648,9,7,716,7859
1017,23,961,0,42,0,912,12,3,29,7,28,0,3,60,208,9,3,440,76,0,3,6,0,0,0,29,1847,10,11,515,5237
1018,238,1663,0,258,15,2986,6,44,28,23,32,10,20,74,281,18,55,763,328,0,98,54,12,0,24,54,5475,47,19,1686,14311
1019,125,1627,0,197,0,2219,8,27,42,37,36,0,9,119,266,54,21,734,217,3,13,23,0,0,16,32,4709,22,11,1356,11923
1020,135,1787,0,282,35,3394,29,23,3,13,47,24,24,177,326,18,20,1149,302,0,74,89,0,7,33,28,4248,24,12,1110,13413
1021,133,1108,0,170,0,1895,3,25,9,24,22,10,13,107,160,3,9,548,219,11,96,55,0,0,10,23,3633,42,13,875,9216
1022,182,2730,0,477,46,3848,43,69,108,35,34,7,31,199,427,42,33,1364,432,3,85,119,6,7,56,29,7029,45,9,2058,19553
1023,9,732,0,118,22,1119,8,18,3,0,22,0,10,43,107,10,0,421,122,0,8,9,3,0,0,10,1849,10,0,381,5034
1024,62,1062,0,212,3,2494,11,24,23,8,41,5,0,139,141,11,17,666,208,0,18,26,0,0,5,3,2783,22,3,561,8548
1025,92,1424,0,264,6,2870,3,19,19,10,40,12,12,94,239,30,29,759,241,0,67,55,3,0,17,28,4343,22,7,1034,11739
1026,36,840,0,190,0,1454,14,28,3,4,25,0,20,50,184,3,0,593,194,0,12,0,0,0,0,7,2767,0,6,704,7134
1027,130,1097,0,77,74,1103,64,23,0,3,27,0,7,53,209,36,3,571,173,12,22,4,14,0,18,52,4684,39,42,1920,10457
1028,93,1035,0,108,3,1173,38,50,0,0,18,0,16,24,204,27,0,462,167,7,7,4,0,0,0,31,3846,24,26,976,8339
1029,32,706,0,64,0,1055,3,33,3,0,28,7,22,23,141,7,0,243,79,0,3,0,0,0,3,12,1456,12,0,524,4456
1030,72,1185,0,175,111,2267,13,68,10,11,33,0,28,21,234,0,7,457,156,3,18,18,3,0,10,19,3604,33,18,990,9564
1031,35,848,0,58,0,1502,3,29,0,7,16,0,13,13,132,9,0,225,112,7,10,3,10,0,0,30,2915,18,8,814,6817
1032,24,771,0,49,0,1055,0,9,0,0,12,0,0,27,140,6,3,305,100,0,3,0,0,0,0,0,1397,7,0,417,4325
1033,40,1227,0,185,0,1165,49,28,3,9,14,0,7,49,312,9,9,697,138,15,14,9,0,0,0,27,2010,12,5,1000,7033
1034,18,750,0,139,0,1651,14,48,0,3,85,0,14,68,301,12,15,293,202,3,3,29,0,0,3,10,2220,3,0,494,6378
1035,34,860,0,114,0,1379,17,32,15,3,35,0,0,32,332,12,26,421,183,0,0,0,0,0,3,20,2615,23,15,619,6790
1036,16,871,0,75,0,1030,6,17,4,0,44,0,3,18,183,5,16,477,98,0,9,0,3,0,0,16,2220,6,0,551,5668
1037,196,1476,0,270,0,3040,20,145,18,0,103,13,39,78,408,41,0,953,307,10,184,129,7,0,61,42,5078,57,29,1248,13952
1038,421,2468,0,705,67,5982,23,663,107,71,155,18,69,90,758,69,71,643,783,15,90,1079,11,6,99,86,8689,42,29,2816,26125
1039,138,1196,0,141,0,3308,17,242,26,3,49,3,23,61,336,11,11,523,268,12,210,113,6,0,53,16,4415,35,19,1366,12601
1040,141,1603,0,257,14,5829,8,464,47,27,154,6,24,100,579,34,0,910,518,12,198,201,9,0,57,47,6298,73,18,1713,19341
1041,233,2568,0,594,0,5220,49,161,68,3,304,7,50,253,713,84,38,1498,665,10,205,148,0,0,90,63,8068,53,23,2014,23182
1042,208,2473,0,524,80,5604,28,224,13,24,217,12,45,173,554,18,14,1533,592,10,256,326,0,0,104,57,7107,40,19,1760,22015
1043,164,1984,0,324,0,4600,5,257,55,51,132,0,45,93,454,19,24,748,430,12,67,83,3,0,31,25,5843,46,14,2391,17900
1044,77,1650,0,298,0,3178,14,109,44,8,74,0,13,127,352,51,3,813,312,4,59,17,0,0,21,21,4327,40,12,1103,12727
1045,138,1700,0,220,3,3531,13,121,64,33,103,0,40,80,540,42,8,811,336,6,96,50,3,0,33,22,5047,19,6,1408,14473
1046,98,1161,0,85,0,3119,7,144,9,0,87,0,16,33,255,3,0,595,176,6,93,53,4,0,21,9,3166,39,6,968,10153
1047,166,927,0,185,10,5188,27,746,44,13,122,0,35,65,438,6,27,387,583,23,128,220,0,0,77,39,3702,31,20,1399,14608
1048,82,1849,0,306,0,3113,21,96,35,6,77,0,12,65,385,31,11,906,386,7,10,8,0,0,0,29,4652,24,17,1110,13238
1049,32,560,0,78,0,819,3,28,11,0,24,0,6,0,135,3,0,315,50,0,13,6,6,0,7,13,2253,7,6,586,4961
1050,184,2914,0,391,0,5421,47,100,45,6,120,0,18,119,500,41,9,1228,472,3,48,30,0,0,20,29,9489,42,45,1954,23275
1051,53,1092,0,138,0,1834,18,158,7,0,32,0,17,15,258,9,6,445,137,7,0,0,4,0,0,13,2280,9,16,793,7341
1052,28,705,0,52,0,861,0,13,0,0,8,0,0,36,129,0,4,370,62,0,4,0,0,0,0,0,1407,6,6,417,4108
1053,120,1899,0,326,0,4314,13,123,70,9,113,3,23,70,321,34,3,866,349,11,21,25,10,0,6,17,7913,49,28,1514,18250
1054,35,1099,0,109,0,963,3,6,19,4,20,0,6,34,230,3,36,373,134,0,3,3,0,0,0,10,2383,22,12,747,6254
1055,54,926,0,86,0,1365,0,17,0,31,20,0,0,28,252,19,8,555,137,6,6,8,0,0,0,26,2044,18,6,624,6236
1056,98,1928,0,91,0,4174,3,116,3,19,26,0,22,22,422,64,12,526,208,0,29,54,0,0,36,54,4558,31,3,1236,13735
1057,63,1411,0,43,0,1889,3,26,0,9,27,0,13,41,262,7,25,496,180,0,3,16,8,0,13,13,3176,20,13,999,8756
1058,34,704,0,26,0,1020,3,27,3,6,9,0,0,0,204,3,6,191,50,7,7,0,0,0,10,0,1206,3,0,416,3935
1059,66,928,0,27,0,1638,6,26,19,15,10,5,18,32,257,17,8,260,75,0,10,20,0,0,15,17,1998,10,3,809,6289
1060,14,699,0,29,0,1125,0,20,0,10,22,0,10,16,137,6,5,209,52,8,0,6,4,0,0,37,1437,17,4,555,4422
1061,3,17,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,90,0,0,28,175
1062,36,568,0,52,0,667,0,14,5,0,6,0,9,0,169,0,3,138,64,3,0,0,3,0,0,12,1327,9,3,409,3497
1063,55,1586,0,117,0,2317,0,25,46,21,45,0,20,53,527,66,15,764,191,3,35,23,0,0,12,3,3209,30,9,1025,10197
1064,14,558,0,65,0,629,0,10,15,0,12,0,21,48,160,8,18,267,106,3,0,0,3,0,0,8,1133,6,0,470,3554
1065,24,865,0,22,3,1039,3,0,15,0,53,0,0,9,132,3,3,247,75,0,8,4,0,0,0,3,1027,7,4,275,3821
1066,116,2796,0,157,82,5318,12,55,76,25,121,7,118,99,573,46,16,958,316,0,68,45,3,0,19,10,5449,27,6,1964,18482
1067,49,1569,0,72,0,2330,6,18,42,7,35,0,68,57,372,9,21,630,208,7,6,0,3,0,0,17,2989,12,8,994,9529
1068,48,604,0,29,0,830,0,0,3,4,27,0,22,8,72,13,5,257,93,6,6,5,0,0,0,9,1835,14,10,636,4536
1069,55,1007,0,77,0,1250,46,42,19,6,40,0,19,64,166,4,12,532,177,6,9,8,11,0,0,33,3303,23,13,1155,8077
1070,14,657,0,46,0,600,0,3,10,0,42,0,9,10,126,9,9,169,95,0,0,0,0,0,0,6,953,6,0,297,3061
1071,26,584,0,8,0,1656,7,18,52,3,10,0,8,9,104,6,3,240,111,3,17,3,0,0,0,13,1224,3,3,509,4620
1072,19,1340,0,121,0,1092,0,0,34,0,35,0,3,40,211,0,6,439,165,0,3,7,0,0,0,6,1706,6,9,628,5870
1073,105,2435,0,279,0,3790,6,67,65,13,291,0,55,144,441,43,20,682,327,6,65,32,3,0,41,28,4709,29,13,1140,14829
1074,175,3711,0,398,12,5936,24,76,123,36,369,13,57,324,568,60,28,1067,692,11,299,92,0,3,69,74,7561,57,16,2337,24188
1075,26,878,0,97,0,851,0,0,15,4,42,0,46,39,120,6,3,364,140,0,0,0,0,0,0,14,1511,10,3,321,4490
1076,59,2481,0,282,7,3276,39,83,64,23,37,0,78,108,836,80,36,642,589,6,22,12,3,0,6,52,5606,52,18,1587,16084
1077,36,1043,0,64,0,1021,0,7,53,8,7,0,46,29,241,6,30,288,128,6,0,0,0,0,0,28,2242,6,6,634,5929
1078,19,1218,0,39,0,1616,3,17,16,12,12,7,23,31,284,16,6,434,237,0,6,18,0,0,5,21,2687,6,10,807,7550
1079,155,2776,0,269,105,3764,64,84,68,32,63,0,231,125,658,106,45,1091,565,6,61,48,0,0,33,38,6450,30,20,1697,18584
1081,75,2530,0,200,136,2791,12,6,56,14,31,6,13,171,398,74,41,729,285,3,61,16,0,0,9,30,5040,23,3,1805,14558
1082,61,1290,0,92,0,1308,0,23,47,6,22,0,7,48,222,14,26,504,169,0,3,3,3,0,0,25,2912,6,4,835,7630
1084,43,1651,0,150,0,1872,3,59,103,0,36,3,6,123,383,8,9,467,154,0,6,0,6,0,4,10,3514,18,9,1212,9849
1085,39,1140,0,36,0,844,3,0,36,0,12,0,0,34,264,15,18,310,126,3,3,0,0,0,0,21,2665,23,9,763,6364
1086,48,1197,0,98,0,890,7,12,10,0,39,0,10,39,263,8,12,379,178,20,7,3,0,0,9,19,2323,28,6,653,6258
1087,47,1287,0,53,5,1450,7,17,26,3,26,3,3,19,254,7,3,554,176,0,9,3,5,0,3,19,3492,40,8,1127,8646
1088,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,65,0,0,16,109
1089,37,1491,0,101,0,1551,3,18,13,19,7,0,23,57,283,24,18,806,194,0,6,8,0,0,0,35,3417,16,0,897,9024
