"","
Voting Centres
","LIBERAL","
","AUSTRALIAN LABOR PARTY","LABOUR DLP","
.1","
.2","SHOOTERS, FISHERS & FARMERS VIC","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Bass","128","61","104","10","3","3","20","10","17","356"
"2","Bayles","271","4","154","10","1","4","35","20","31","530"
"3","Cape Paterson","113","21","146","3","0","1","5","28","24","341"
"4","Catani","83","2","28","3","0","0","5","4","11","136"
"5","Clyde","406","14","522","39","2","6","33","55","94","1171"
"6","Clyde North East","434","8","622","26","3","6","7","34","62","1202"
"7","Corinella","205","137","261","12","4","7","29","28","50","733"
"8","Cowes","262","43","452","33","43","1","41","92","64","1031"
"9","Dalyston","111","27","144","8","1","2","19","27","28","367"
"10","Grantville","310","93","304","22","21","3","30","24","68","875"
"11","Inverloch","533","78","551","26","5","4","42","118","73","1430"
"12","Kilcunda","89","20","99","4","2","1","4","12","19","250"
"13","Koo Wee Rup","578","40","453","31","5","18","66","37","99","1327"
"14","Lakeside East","276","7","302","40","4","4","21","35","54","743"
"15","Lang Lang","450","36","295","15","5","7","68","23","61","960"
"16","Newhaven","203","45","256","7","31","0","15","58","46","661"
"17","Pakenham","203","9","313","18","1","3","40","30","53","670"
"18","Pakenham Central","348","33","358","34","3","11","44","54","62","947"
"19","Pakenham Lakeside","507","14","719","41","7","18","52","100","99","1557"
"20","Pakenham Springs","623","32","860","42","5","12","64","68","156","1862"
"21","Rhyll","110","21","96","7","12","2","12","15","11","286"
"22","San Remo","223","39","186","11","13","1","17","37","22","549"
"23","Wonthaggi","277","58","430","17","7","0","57","79","81","1006"
"24","Wonthaggi North","331","55","403","24","2","5","90","55","57","1022"
"25","Ordinary Votes Total","7074","897","8058","483","180","119","816","1043","1342","20012"
"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Postal Votes","1584","129","1060","59","34","38","120","135","141","3300"
"28","Early Votes","10552","1093","9497","609","357","189","859","1324","1714","26194"
"29","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0"
"30","Provisional Votes","117","10","172","19","7","8","28","47","28","436"
"31","Absent Votes","988","83","1167","118","25","31","188","272","297","3169"
"32","Total","20315","2212","19954","1288","603","385","2011","2821","3522","53111"
"33","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Percentage of formal vote polled by candidate","40.97%","4.46%","40.24%","2.60%","1.22%","0.78%","4.06%","5.69%","",""
