"","
Voting Centres
","ANIMAL JUSTICE PARTY","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","LIBERAL","VICTORIAN SOCIALISTS","
Informal votes
","
Total votes polled
"
"1","Barwon Heads","38","872","264","678","12","63","1927"
"2","Beacon Point","58","640","78","351","10","59","1196"
"3","Clifton Springs","160","1425","247","792","42","142","2808"
"4","Collendina","66","676","148","412","14","63","1379"
"5","Drysdale","70","748","124","624","17","65","1648"
"6","Leopold","152","1831","213","1040","58","187","3481"
"7","Moolap","34","401","33","209","9","23","709"
"8","Ocean Grove","100","1011","280","658","26","85","2160"
"9","Point Lonsdale","31","665","152","556","13","31","1448"
"10","Portarlington","90","1009","116","630","14","66","1925"
"11","Queenscliff","16","354","91","219","10","19","709"
"12","St Leonards","68","761","122","477","7","50","1485"
"13","Surfside","97","948","222","505","24","76","1872"
"14","Wallington","56","405","108","368","9","36","982"
"15","Ordinary Votes Total","1036","11746","2198","7519","265","965","23729"
"16","",NA,NA,NA,NA,NA,NA,NA
"17","Postal Votes","125","1525","291","1443","40","168","3592"
"18","Early Votes","594","7205","1053","5840","161","538","15391"
"19","Marked As Voted Votes","0","0","0","0","0","0","0"
"20","Provisional Votes","23","114","43","53","1","10","244"
"21","Absent Votes","190","1358","372","764","54","123","2861"
"22","Total","1968","21948","3957","15619","521","1804","45817"
"23","",NA,NA,NA,NA,NA,NA,NA
"24","Percentage of formal vote polled by candidate","4.47%","49.87%","8.99%","35.49%","1.18%","",""
