"","
Voting Centres
","
","AUSTRALIAN LABOR PARTY","LIBERAL","
.1","SHOOTERS, FISHERS & FARMERS VIC","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Baranduda","121","135","278","104","73","36","32","779"
"2","Barnawartha","86","83","239","75","62","12","26","583"
"3","Beechworth","134","317","415","577","79","66","75","1663"
"4","Bethanga","44","52","179","52","25","20","24","396"
"5","Bonegilla","66","71","195","38","43","23","18","454"
"6","Bullioh","7","8","48","12","8","3","2","88"
"7","Chiltern","88","165","314","108","99","21","43","838"
"8","Corryong","74","150","446","76","68","25","56","895"
"9","Cudgewa","19","14","117","12","11","3","8","184"
"10","Dederang","35","19","71","14","29","6","5","179"
"11","Eskdale","17","18","101","9","13","6","9","173"
"12","Kergunyah","41","18","84","16","17","4","8","188"
"13","Mitta Mitta","12","9","45","11","7","7","7","98"
"14","Mt Beauty","113","205","239","81","50","81","40","809"
"15","Running Creek","13","17","52","11","7","8","5","113"
"16","Rutherglen","109","289","491","148","127","44","65","1273"
"17","Sandy Creek","7","10","53","9","18","1","3","101"
"18","Stanley","15","21","36","98","11","5","6","192"
"19","Tallangatta","86","94","271","93","88","12","34","678"
"20","Tallangatta Valley","3","1","35","6","1","1","6","53"
"21","Tangambalanga","105","43","212","83","62","6","32","543"
"22","Tawonga","48","57","105","30","23","15","14","292"
"23","Victory","333","330","699","169","172","62","126","1891"
"24","Wahgunyah","61","154","263","80","60","20","57","695"
"25","Walwa","27","30","81","13","21","6","15","193"
"26","Wodonga","196","158","352","105","92","37","58","998"
"27","Wodonga Birallee","170","171","265","102","87","51","53","899"
"28","Wodonga Central","453","331","583","180","228","92","145","2012"
"29","Wodonga South","288","286","476","159","122","65","125","1521"
"30","Wooragee","31","40","101","60","32","7","12","283"
"31","Yackandandah","124","139","318","334","74","35","53","1077"
"32","Ordinary Votes Total","2926","3435","7164","2865","1809","780","1162","20141"
"33","",NA,NA,NA,NA,NA,NA,NA,NA
"34","Postal Votes","268","378","1076","272","189","73","118","2374"
"35","Early Votes","3208","3110","7502","1905","1475","506","945","18651"
"36","Marked As Voted Votes","0","0","0","0","0","0","0","0"
"37","Provisional Votes","112","119","160","46","90","32","24","583"
"38","Absent Votes","173","425","613","339","211","174","87","2022"
"39","Total","6687","7467","16515","5427","3774","1565","2336","43771"
"40","",NA,NA,NA,NA,NA,NA,NA,NA
"41","Percentage of formal vote polled by candidate","16.14%","18.02%","39.86%","13.10%","9.11%","3.78%","",""
