"","
Voting Centres
","
","LIBERAL","LABOUR DLP","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","THE NATIONALS","
Informal votes
","
Total votes polled
"
"1","Axedale","16","91","9","205","32","98","26","477"
"2","Bendigo Central","22","118","22","389","97","85","35","768"
"3","Bendigo East","14","89","13","226","33","64","13","452"
"4","Comet Hill","23","61","22","317","39","56","42","560"
"5","Dingee","2","32","3","42","3","98","4","184"
"6","Eaglehawk North","12","58","6","233","21","52","21","403"
"7","Elmore","7","77","8","182","14","156","27","471"
"8","Eppalock","4","73","9","176","30","92","15","399"
"9","Epsom","46","279","44","938","97","242","97","1743"
"10","Flora Hill","23","223","30","695","148","203","62","1384"
"11","Golden Square","10","41","10","146","23","31","29","290"
"12","Goornong","13","56","10","151","15","108","28","381"
"13","Huntly","41","275","28","715","69","240","68","1436"
"14","Jobs Gully","40","179","51","839","107","176","105","1497"
"15","Junortoun","13","142","12","279","43","166","42","697"
"16","Kangaroo Flat South","5","68","8","173","27","37","24","342"
"17","Kennington","14","162","11","334","85","75","20","701"
"18","Mandurang","10","68","4","162","41","84","14","383"
"19","Quarry Hill","21","116","11","447","146","95","31","867"
"20","Raywood","7","40","2","168","11","86","21","335"
"21","Sailors Gully","20","121","16","428","61","116","37","799"
"22","Sedgwick","1","24","4","97","17","68","3","214"
"23","Serpentine","4","15","3","50","3","68","7","150"
"24","Spring Gully","13","171","9","529","116","152","32","1022"
"25","Strath Hill","13","159","17","397","106","98","26","816"
"26","Strathdale","12","271","19","632","95","170","54","1253"
"27","Strathfieldsaye","26","387","36","932","137","353","88","1959"
"28","Weeroona","13","100","16","332","46","81","48","636"
"29","White Hills","24","184","28","394","58","126","45","859"
"30","Woodvale","10","43","2","99","8","39","7","208"
"31","Ordinary Votes Total","479","3723","463","10707","1728","3515","1071","21686"
"32","",NA,NA,NA,NA,NA,NA,NA,NA
"33","Postal Votes","57","439","45","889","139","278","57","1904"
"34","Early Votes","244","3507","311","7030","1015","2334","521","14962"
"35","Marked As Voted Votes","0","0","0","0","0","0","0","0"
"36","Provisional Votes","0","0","0","1","1","1","0","3"
"37","Absent Votes","219","1318","261","3066","582","736","327","6509"
"38","Total","999","8987","1080","21693","3465","6864","1976","45064"
"39","",NA,NA,NA,NA,NA,NA,NA,NA
"40","Percentage of formal vote polled by candidate","2.32%","20.86%","2.51%","50.35%","8.04%","15.93%","",""
