"","
Voting Centres
","
","LIBERAL","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","FIONA PATTEN'S REASON PARTY ","SUSTAINABLE AUSTRALIA","ANIMAL JUSTICE PARTY","LABOUR DLP","DERRYN HINCH'S JUSTICE PARTY","
.1","
Informal votes
","
Total votes polled
"
"1","Bentleigh","69","562","987","171","20","22","30","36","43","9","123","2072"
"2","Bentleigh Central","58","645","981","86","21","13","47","27","22","3","125","2028"
"3","Bentleigh East","12","331","584","54","15","5","23","8","20","2","86","1140"
"4","Bentleigh West","24","472","706","126","16","6","32","17","20","1","88","1508"
"5","Berendale","8","283","474","102","9","6","9","11","15","2","64","983"
"6","Coatesville","24","501","963","114","18","19","33","16","35","0","103","1826"
"7","Hughesdale South","15","204","337","36","5","4","9","3","12","1","53","679"
"8","McKinnon","15","469","771","114","18","17","12","9","23","5","92","1545"
"9","McKinnon East","34","632","1210","145","23","25","33","24","12","3","133","2274"
"10","Moorabbin Central","9","141","250","51","10","6","12","11","10","2","29","531"
"11","Moorabbin Heights","30","411","758","99","15","11","22","17","17","1","109","1490"
"12","Moorabbin South","18","494","768","99","14","10","22","22","17","2","120","1586"
"13","Moorabbin South East","15","249","458","68","5","7","9","14","15","1","59","900"
"14","Ormond West","18","382","688","107","25","13","19","10","6","4","81","1353"
"15","Southmoor","4","148","309","35","8","5","16","6","7","2","50","590"
"16","Ordinary Votes Total","353","5924","10244","1407","222","169","328","231","274","38","1315","20505"
"17","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Postal Votes","90","1615","1685","196","48","27","43","26","103","10","236","4079"
"19","Early Votes","264","3995","5483","877","141","93","268","112","145","35","658","12071"
"20","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Provisional Votes","4","44","81","27","0","0","8","3","3","0","14","184"
"22","Absent Votes","41","654","950","256","41","23","62","40","47","9","185","2308"
"23","Total","752","12232","18443","2763","452","312","709","412","572","92","2408","39147"
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","2.05%","33.29%","50.20%","7.52%","1.23%","0.85%","1.93%","1.12%","1.56%","0.25%","",""
