"","
Voting Centres
","LIBERAL","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Balwyn","466","320","104","41","931"
"2","Blackburn","452","462","179","37","1130"
"3","Blackburn Lake","574","679","253","50","1556"
"4","Blackburn North","555","657","173","63","1448"
"5","Box Hill","278","351","115","46","790"
"6","Box Hill Central","304","374","140","49","867"
"7","Box Hill North","266","277","94","26","663"
"8","Chatham","699","584","226","48","1557"
"9","Greythorn","290","257","98","35","680"
"10","Kerrimuir","720","603","187","106","1616"
"11","Koonung Heights","647","604","170","63","1484"
"12","Laburnum","488","642","215","52","1397"
"13","Middlefield","690","756","211","88","1745"
"14","Mont Albert","697","585","196","54","1532"
"15","Surrey Hills","324","301","89","26","740"
"16","Surrey Hills North","538","521","185","40","1284"
"17","Tyne","333","368","170","47","918"
"18","Ordinary Votes Total","8321","8341","2805","871","20338"
"19","",NA,NA,NA,NA,NA
"20","Postal Votes","3026","1749","532","394","5701"
"21","Early Votes","4840","4188","1672","398","11098"
"22","Marked As Voted Votes","1","1","1","0","3"
"23","Provisional Votes","103","98","56","9","266"
"24","Absent Votes","1061","983","573","178","2795"
"25","Total","17352","15360","5639","1850","40201"
"26","",NA,NA,NA,NA,NA
"27","Percentage of formal vote polled by candidate","45.25%","40.05%","14.70%","",""
