"","
Voting Centres
","ANIMAL JUSTICE PARTY","AUSTRALIAN LABOR PARTY","LIBERAL","
","AUSTRALIAN GREENS","SUSTAINABLE AUSTRALIA","
Informal votes
","
Total votes polled
"
"1","Brighton","107","760","1203","25","296","69","128","2588"
"2","Brighton Beach","60","320","616","11","135","18","43","1203"
"3","Brighton East","25","353","387","8","86","12","35","906"
"4","Brighton High","16","175","274","6","58","10","42","581"
"5","Dendy","59","359","688","12","102","22","48","1290"
"6","Elsternwick South","58","378","403","13","166","17","39","1074"
"7","Elwood","119","695","520","6","447","48","77","1912"
"8","Elwood North","108","853","373","9","565","60","77","2045"
"9","Gardenvale","76","392","706","14","174","34","56","1452"
"10","Hampton","78","541","671","8","198","46","68","1610"
"11","Hampton East","6","76","137","0","34","5","9","267"
"12","Landcox","47","484","560","6","175","15","40","1327"
"13","Ludstone","47","491","536","15","151","23","57","1320"
"14","Middle Brighton","106","444","1000","13","168","25","84","1840"
"15","Ordinary Votes Total","912","6321","8074","146","2755","404","803","19415"
"16","",NA,NA,NA,NA,NA,NA,NA,NA
"17","Postal Votes","196","1136","2581","37","503","131","270","4854"
"18","Early Votes","621","3580","5778","67","1895","255","445","12641"
"19","Marked As Voted Votes","0","0","0","0","0","0","0","0"
"20","Provisional Votes","21","84","99","2","40","11","14","271"
"21","Absent Votes","211","1072","1065","21","661","80","165","3275"
"22","Total","1961","12193","17597","273","5854","881","1697","40456"
"23","",NA,NA,NA,NA,NA,NA,NA,NA
"24","Percentage of formal vote polled by candidate","5.06%","31.46%","45.40%","0.70%","15.10%","2.27%","",""
