"","
Voting Centres
","AUSTRALIAN LABOR PARTY","VICTORIAN SOCIALISTS","AUSTRALIAN GREENS","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Bethal","1104","126","72","150","137","1589"
"2","Broadmeadows","851","70","44","116","139","1220"
"3","Broadmeadows North","975","90","129","235","176","1605"
"4","Campbellfield","990","98","52","187","149","1476"
"5","Coolaroo","880","114","65","170","109","1338"
"6","Fawkner","807","134","145","173","205","1464"
"7","Fawkner North","1145","99","135","284","245","1908"
"8","Glenroy","256","22","58","60","89","485"
"9","Glenroy North","214","14","33","53","31","345"
"10","Gowrie Park","585","52","56","148","109","950"
"11","Hume Central","646","78","70","128","118","1040"
"12","Meadow Heights","1579","274","173","335","327","2688"
"13","Moomba Park","733","61","95","195","133","1217"
"14","Roxburgh Homestead","911","120","92","254","159","1536"
"15","Roxburgh Park","462","48","44","116","56","726"
"16","Upfield","881","85","52","132","198","1348"
"17","Westmeadows","137","9","22","29","15","212"
"18","Ordinary Votes Total","13156","1494","1337","2765","2395","21147"
"19","",NA,NA,NA,NA,NA,NA
"20","Postal Votes","1437","85","187","413","224","2346"
"21","Early Votes","5730","556","787","1710","707","9490"
"22","Marked As Voted Votes","1","0","0","0","0","1"
"23","Provisional Votes","196","26","19","46","29","316"
"24","Absent Votes","1527","146","282","387","274","2616"
"25","Total","22047","2307","2612","5321","3629","35916"
"26","",NA,NA,NA,NA,NA,NA
"27","Percentage of formal vote polled by candidate","68.28%","7.15%","8.09%","16.48%","",""
