"","
Voting Centres
","
","FIONA PATTEN'S REASON PARTY ","LIBERAL DEMOCRATS","AUSTRALIAN LABOR PARTY","
.1","LIBERAL","AUSTRALIAN GREENS","
.2","ANIMAL JUSTICE PARTY","
Informal votes
","
Total votes polled
"
"1","Blyth","19","60","11","370","8","67","544","7","20","52","1158"
"2","Brunswick East","45","63","17","590","4","85","840","11","31","96","1782"
"3","Brunswick North","63","85","26","766","13","142","792","5","26","104","2022"
"4","Brunswick North West","24","62","16","481","2","99","370","3","16","70","1143"
"5","Brunswick South","15","53","4","407","5","81","489","11","13","57","1135"
"6","Brunswick South West","31","56","17","688","12","173","665","10","21","101","1774"
"7","Coburg","3","18","5","113","3","27","104","1","8","26","308"
"8","Coburg East","27","17","12","256","2","66","212","1","10","73","676"
"9","Coburg West","44","49","17","493","8","126","307","5","20","87","1156"
"10","Edward","48","109","19","561","22","105","936","34","29","95","1958"
"11","Glen Nichol","19","98","16","675","7","167","831","9","21","97","1940"
"12","Melville","20","51","18","469","8","142","358","5","26","62","1159"
"13","Merri","18","65","11","583","4","88","495","3","25","62","1354"
"14","Mitchell Street","37","63","10","491","2","79","451","11","22","74","1240"
"15","Moreland","83","80","18","509","16","119","558","3","25","114","1525"
"16","Pascoe Vale South","31","35","31","442","12","217","197","7","19","70","1061"
"17","Ordinary Votes Total","527","964","248","7894","128","1783","8149","126","332","1240","21391"
"18","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","All Votes Votes","0","0","0","0","0","0","0","0","0","0","0"
"20","Postal Votes","74","118","41","1091","20","460","920","20","79","159","2982"
"21","Early Votes","553","723","259","6412","107","1845","6892","78","315","1242","18426"
"22","Marked As Voted Votes","0","0","0","2","0","2","2","0","0","0","6"
"23","Provisional Votes","7","16","7","113","2","40","177","4","9","19","394"
"24","Absent Votes","79","148","58","1189","19","320","1459","22","94","267","3655"
"25","Total","1240","1969","613","16701","276","4450","17599","250","829","2927","46854"
"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Percentage of formal vote polled by candidate","2.82%","4.48%","1.40%","38.02%","0.63%","10.13%","40.06%","0.57%","1.89%","",""
