"","
Voting Centres
","AUSTRALIAN GREENS","LIBERAL","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Bulleen","171","884","700","148","1903"
"2","Bulleen West","71","223","205","34","533"
"3","Doncaster","150","497","506","84","1237"
"4","Doncaster Central","134","637","541","106","1418"
"5","Doncaster South","110","380","379","43","912"
"6","Doncaster West","97","451","362","67","977"
"7","Lower Templestowe","92","447","410","44","993"
"8","Manningham","170","818","532","117","1637"
"9","Serpell","179","926","569","124","1798"
"10","St Gregory's","82","451","299","60","892"
"11","Templestowe","122","603","378","78","1181"
"12","Templestowe Heights","276","1268","1236","199","2979"
"13","Templestowe Park","124","943","483","115","1665"
"14","Templestowe Valley","127","618","480","89","1314"
"15","The Pines","62","382","199","55","698"
"16","Ordinary Votes Total","1967","9528","7279","1363","20137"
"17","",NA,NA,NA,NA,NA
"18","Postal Votes","359","2252","1212","360","4183"
"19","Early Votes","1423","6581","4193","737","12934"
"20","Marked As Voted Votes","1","0","1","0","2"
"21","Provisional Votes","44","114","88","15","261"
"22","Absent Votes","425","966","824","171","2386"
"23","Total","4219","19441","13597","2646","39903"
"24","",NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","11.32%","52.18%","36.50%","",""
