"","
Voting Centres
","AUSTRALIAN GREENS","LIBERAL","AUSTRALIAN LABOR PARTY","FIONA PATTEN'S REASON PARTY ","VICTORIAN SOCIALISTS","ANIMAL JUSTICE PARTY","
Informal votes
","
Total votes polled
"
"1","Bundoora","156","469","1103","76","45","47","92","1988"
"2","Findon","68","162","628","16","24","24","59","981"
"3","Greensborough","107","222","504","23","28","24","45","953"
"4","Kingsbury","129","368","747","29","33","55","90","1451"
"5","Mill Park","112","351","925","30","87","45","106","1656"
"6","Norris Bank","118","452","1361","35","51","33","194","2244"
"7","Streeton","67","289","468","10","10","26","54","924"
"8","The Stables","8","45","101","4","4","5","11","178"
"9","Watsonia","82","407","757","57","31","45","81","1460"
"10","Watsonia Central","61","191","391","23","20","13","29","728"
"11","Watsonia Heights","86","234","470","13","24","16","40","883"
"12","Watsonia North","103","578","1086","45","37","41","131","2021"
"13","Watsonia South","61","199","412","23","39","24","44","802"
"14","Yulong Park","89","438","923","31","49","35","104","1669"
"15","Ordinary Votes Total","1247","4405","9876","415","482","433","1080","17938"
"16","",NA,NA,NA,NA,NA,NA,NA,NA
"17","Postal Votes","163","750","1248","63","27","101","137","2489"
"18","Early Votes","1017","4136","7238","270","243","359","840","14103"
"19","Marked As Voted Votes","0","0","0","0","0","0","0","0"
"20","Provisional Votes","28","40","100","6","5","13","5","197"
"21","Absent Votes","335","627","1254","64","48","105","164","2597"
"22","Total","2790","9958","19716","818","805","1011","2226","37324"
"23","",NA,NA,NA,NA,NA,NA,NA,NA
"24","Percentage of formal vote polled by candidate","7.95%","28.37%","56.17%","2.33%","2.29%","2.88%","",""
