"","
Voting Centres
","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","LIBERAL","
","VICTORIAN SOCIALISTS","
.1","ANIMAL JUSTICE PARTY","
.2","
Informal votes
","
Total votes polled
"
"1","Bacchus Marsh","310","53","204","12","12","39","35","13","57","735"
"2","Ballan","794","124","458","17","12","84","51","16","155","1711"
"3","Bungaree","105","7","150","1","3","5","3","10","19","303"
"4","Buninyong","914","207","600","28","13","71","61","14","105","2013"
"5","Caledonian","277","64","212","6","5","12","22","8","58","664"
"6","Canadian","540","113","198","9","9","28","50","9","82","1038"
"7","Cape Clear","63","9","55","1","1","1","4","1","17","152"
"8","Clarkes Hill","20","4","51","1","0","0","1","1","5","83"
"9","Dereel","160","24","111","3","7","7","13","3","15","343"
"10","Elaine","126","15","126","6","4","3","11","2","28","321"
"11","Gordon","312","42","194","22","8","14","13","5","56","666"
"12","Haddon","419","46","249","12","7","56","33","6","74","902"
"13","Lethbridge","269","34","172","1","8","20","19","8","60","591"
"14","Linton","167","20","91","2","6","9","8","3","44","350"
"15","Magpie","206","29","124","6","3","17","6","6","35","432"
"16","Meredith","208","50","160","7","3","10","17","3","27","485"
"17","Mount Clear","626","159","386","8","20","41","50","13","76","1379"
"18","Mount Egerton","161","30","81","3","2","4","16","5","30","332"
"19","Mount Pleasant","454","149","173","5","8","28","60","8","70","955"
"20","Mount Wallace","39","7","47","0","1","0","7","4","6","111"
"21","Myrniong","204","24","146","7","6","7","19","8","27","448"
"22","Napoleons","283","49","173","8","4","10","19","18","48","612"
"23","Redan","566","74","189","9","10","36","40","9","86","1019"
"24","Ross Creek","320","39","233","5","5","24","28","6","38","698"
"25","Scarsdale","125","20","75","4","3","6","8","9","25","275"
"26","Sebastopol","812","89","362","9","14","58","74","15","133","1566"
"27","Smythesdale","252","30","118","7","9","30","18","10","51","525"
"28","Springbank","40","3","75","1","3","1","3","2","11","139"
"29","The Stockade","376","132","171","6","15","24","27","7","53","811"
"30","Warrenheip","261","45","280","9","5","29","17","2","38","686"
"31","Ordinary Votes Total","9409","1691","5664","215","206","674","733","224","1529","20345"
"32","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Postal Votes","945","156","799","30","23","53","104","50","119","2279"
"34","Early Votes","7052","1284","4682","129","117","519","569","157","1192","15701"
"35","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0"
"36","Provisional Votes","132","20","71","2","5","5","12","2","15","264"
"37","Absent Votes","1427","391","705","60","46","34","163","34","305","3165"
"38","Total","18965","3542","11921","436","397","1285","1581","467","3160","41754"
"39","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Percentage of formal vote polled by candidate","49.14%","9.18%","30.89%","1.13%","1.03%","3.33%","4.10%","1.21%","",""
