"","
Voting Centres
","TRANSPORT MATTERS","LIBERAL","DERRYN HINCH'S JUSTICE PARTY","AUSTRALIAN GREENS","
","AUSTRALIAN LABOR PARTY","LABOUR DLP","
Informal votes
","
Total votes polled
"
"1","Banyan Fields","11","337","71","74","13","806","27","91","1430"
"2","Belvedere Park","25","446","105","109","11","865","44","105","1710"
"3","Bonbeach","12","352","31","72","6","683","9","38","1203"
"4","Carrum","17","516","25","101","41","714","18","92","1524"
"5","Carrum Downs","14","583","77","92","11","1041","20","113","1951"
"6","Carrum Downs Central","4","152","26","36","6","394","10","37","665"
"7","Chelsea Central","13","168","25","61","4","328","18","50","667"
"8","Kananook","5","180","46","80","8","400","12","48","779"
"9","Lyrebird","24","322","70","74","11","864","32","115","1512"
"10","Patterson Lakes","22","1135","90","119","37","1045","39","129","2616"
"11","Rowellyn Park","13","248","59","57","11","779","29","69","1265"
"12","Seaford","14","321","68","109","24","706","14","69","1325"
"13","Seaford North","14","297","17","88","20","536","11","55","1038"
"14","Skye","31","436","84","73","13","976","25","105","1743"
"15","Ordinary Votes Total","219","5493","794","1145","216","10137","308","1116","19428"
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Postal Votes","44","1503","242","176","39","1855","57","302","4218"
"18","Early Votes","140","4002","424","401","101","5890","146","554","11658"
"19","Marked As Voted Votes","0","0","0","0","0","0","0","0","0"
"20","Provisional Votes","11","65","9","22","0","129","10","15","261"
"21","Absent Votes","171","2545","353","688","77","3833","175","631","8473"
"22","Total","585","13608","1822","2432","433","21844","696","2618","44038"
"23","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Percentage of formal vote polled by candidate","1.41%","32.85%","4.40%","5.87%","1.05%","52.74%","1.68%","",""
