"","
Voting Centres
","LIBERAL","AUSTRALIAN LABOR PARTY","ANIMAL JUSTICE PARTY","SUSTAINABLE AUSTRALIA","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Bundeera","955","630","61","28","152","99","1925"
"2","Caulfield East","519","566","51","14","142","57","1349"
"3","Caulfield North","722","420","38","14","183","61","1438"
"4","Caulfield South","521","402","37","24","136","66","1186"
"5","Caulfield Upper","427","377","29","15","147","38","1033"
"6","Caulfield West","209","170","12","11","71","19","492"
"7","Clarence","370","374","16","19","113","45","937"
"8","Elsternwick","384","464","27","22","157","39","1093"
"9","Elsternwick North","404","522","55","26","212","70","1289"
"10","Glen Eira","575","382","35","21","135","87","1235"
"11","Glenhuntly East","149","274","13","8","71","42","557"
"12","Ormond","187","272","19","11","87","26","602"
"13","Ripponlea East","260","443","24","10","189","38","964"
"14","St Kilda","217","585","56","23","294","45","1220"
"15","Ordinary Votes Total","5899","5881","473","246","2089","732","15320"
"16","",NA,NA,NA,NA,NA,NA,NA
"17","Postal Votes","3542","1120","120","88","405","293","5568"
"18","Early Votes","6384","3838","298","161","1597","434","12712"
"19","Marked As Voted Votes","0","1","0","0","0","0","1"
"20","Provisional Votes","117","75","16","11","41","6","266"
"21","Absent Votes","1919","2139","246","159","1255","270","5988"
"22","Total","17861","13054","1153","665","5387","1735","39855"
"23","",NA,NA,NA,NA,NA,NA,NA
"24","Percentage of formal vote polled by candidate","46.85%","34.24%","3.02%","1.74%","14.13%","",""
