"","
Voting Centres
","
","
.1","AUSTRALIAN LABOR PARTY","TRANSPORT MATTERS","DERRYN HINCH'S JUSTICE PARTY","LABOUR DLP","
.2","LIBERAL","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Amstel","13","7","424","16","64","10","2","360","40","56","992"
"2","Casey Central","15","4","742","58","39","28","4","298","41","88","1317"
"3","Clyde","4","1","260","10","20","5","2","136","17","52","507"
"4","Clyde North","15","7","621","37","40","12","6","385","34","114","1271"
"5","Courtenay Gardens","61","19","1019","65","101","28","7","502","71","170","2043"
"6","Cranbourne","44","12","844","50","80","16","5","563","59","150","1823"
"7","Cranbourne East","39","13","1036","118","80","33","7","706","63","144","2239"
"8","Cranbourne North East","18","13","641","46","47","18","1","283","31","93","1191"
"9","Cranbourne North West","8","0","259","38","13","7","1","80","22","36","464"
"10","Cranbourne Park","42","10","610","23","67","19","5","396","50","126","1348"
"11","Cranbourne South","9","13","657","17","94","16","1","648","61","112","1628"
"12","Cranbourne South West","17","6","808","38","50","22","0","438","44","95","1518"
"13","Cranbourne West","79","14","1262","33","88","30","5","598","124","223","2456"
"14","Lynbrook","23","10","923","45","40","36","0","398","65","113","1653"
"15","Lyndhurst","35","10","572","32","72","14","6","264","35","118","1158"
"16","Lyndhurst West","45","11","1001","104","50","24","6","456","54","118","1869"
"17","Rangebank","11","3","376","15","36","10","1","146","28","63","689"
"18","Ordinary Votes Total","478","153","12055","745","981","328","59","6657","839","1871","24166"
"19","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Postal Votes","69","29","1816","75","275","45","13","1347","148","272","4089"
"21","Early Votes","549","245","10082","868","865","407","74","7479","726","1838","23133"
"22","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0","0"
"23","Provisional Votes","18","5","193","25","14","13","2","83","25","33","411"
"24","Absent Votes","151","33","1579","114","153","140","16","917","270","213","3586"
"25","Total","1265","465","25725","1827","2288","933","164","16483","2008","4227","55385"
"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Percentage of formal vote polled by candidate","2.47%","0.91%","50.29%","3.57%","4.47%","1.82%","0.32%","32.22%","3.93%","",""
