"","
Voting Centres
","AUSTRALIAN LABOR PARTY","
","AUSTRALIAN GREENS","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Alexandra","484","76","121","754","82","1517"
"2","Arthurs Creek","98","6","27","183","13","327"
"3","Badger Creek","402","63","143","475","62","1145"
"4","Bonnie Doon","114","18","18","243","28","421"
"5","Buxton","95","16","39","121","12","283"
"6","Dixons Creek","79","8","33","153","10","283"
"7","Eildon","158","40","41","290","32","561"
"8","Flowerdale","134","29","21","100","13","297"
"9","Gladysdale","171","10","27","166","16","390"
"10","Glenburn","56","7","10","136","9","218"
"11","Healesville","402","46","140","458","63","1109"
"12","Healesville Central","790","90","296","837","123","2136"
"13","Hoddles Creek","113","11","23","115","18","280"
"14","Jamieson","90","5","7","140","16","258"
"15","Kangaroo Ground","256","23","104","308","18","709"
"16","Kinglake","244","135","61","233","35","708"
"17","Kinglake West","240","97","48","236","26","647"
"18","Launching Place","300","22","41","248","50","661"
"19","Mansfield","634","114","171","1383","129","2431"
"20","Marysville","87","13","20","140","13","273"
"21","Merrijig","73","16","40","181","14","324"
"22","Merton","31","6","5","82","11","135"
"23","Millgrove","265","22","47","142","39","515"
"24","Narbethong","24","9","6","68","10","117"
"25","Panton Hill","258","38","76","270","34","676"
"26","Piries-Goughs Bay","35","5","10","140","14","204"
"27","St Andrews","294","38","148","168","27","675"
"28","Taggerty","61","13","11","150","17","252"
"29","Thornton","53","7","14","132","7","213"
"30","Tolmie","73","14","20","119","10","236"
"31","Toolangi","67","9","36","123","11","246"
"32","Warburton","251","23","148","135","26","583"
"33","Warburton East","203","16","40","126","20","405"
"34","Wesburn","268","27","94","201","39","629"
"35","Woori Yallock","525","50","99","552","82","1308"
"36","Yarck","57","15","14","201","15","302"
"37","Yarra Glen","479","59","144","772","88","1542"
"38","Yarra Junction","310","26","65","267","50","718"
"39","Yea","250","43","65","664","47","1069"
"40","Ordinary Votes Total","8524","1265","2473","11212","1329","24803"
"41","",NA,NA,NA,NA,NA,NA
"42","Postal Votes","1363","261","324","3059","244","5251"
"43","Early Votes","2974","432","803","3363","402","7974"
"44","Marked As Voted Votes","1","1","0","3","0","5"
"45","Provisional Votes","87","16","35","82","16","236"
"46","Absent Votes","901","138","400","998","187","2624"
"47","Total","13850","2113","4035","18717","2178","40893"
"48","",NA,NA,NA,NA,NA,NA
"49","Percentage of formal vote polled by candidate","35.77%","5.46%","10.42%","48.35%","",""
