"","
Voting Centres
","LIBERAL","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","LABOUR DLP","
Informal votes
","
Total votes polled
"
"1","Apollo Parkways","531","814","104","35","55","1539"
"2","Briar Hill","193","273","78","6","19","569"
"3","Eltham","690","1024","305","19","71","2109"
"4","Eltham East","567","918","230","30","63","1808"
"5","Eltham North","294","594","119","8","43","1058"
"6","Eltham Woods","259","335","82","5","17","698"
"7","Glen Katherine","761","1005","147","28","66","2007"
"8","Greenhills","509","652","112","23","55","1351"
"9","Greensborough","78","104","36","4","14","236"
"10","Holy Trinity - Eltham North","513","586","82","19","51","1251"
"11","Lower Plenty","537","472","96","13","51","1169"
"12","Montmorency","757","1017","236","20","80","2110"
"13","Montmorency South","379","703","182","14","44","1322"
"14","Research","688","891","184","33","72","1868"
"15","Sherbourne","229","439","83","15","38","804"
"16","Ordinary Votes Total","6985","9827","2076","272","739","19899"
"17","",NA,NA,NA,NA,NA,NA
"18","Postal Votes","1400","1264","234","42","154","3094"
"19","Early Votes","6455","7716","1568","245","579","16563"
"20","Marked As Voted Votes","0","0","0","0","0","0"
"21","Provisional Votes","50","96","32","11","8","197"
"22","Absent Votes","749","928","298","44","130","2149"
"23","Total","15639","19831","4208","614","1610","41902"
"24","",NA,NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","38.81%","49.22%","10.44%","1.52%","",""
