"","
Voting Centres
","AUSTRALIAN GREENS","LIBERAL","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Bimbadeen","145","588","625","97","1455"
"2","Chirnside Park","214","1047","930","122","2313"
"3","Coldstream","68","542","378","67","1055"
"4","Croydon North","22","76","54","9","161"
"5","Gruyere","34","252","104","23","413"
"6","Lilydale","140","772","826","96","1834"
"7","Lilydale Heights","59","311","350","49","769"
"8","Lilydale Lake","134","739","514","52","1439"
"9","Lilydale West","163","799","797","128","1887"
"10","Manchester","132","535","584","88","1339"
"11","Mount Evelyn","253","1032","841","157","2283"
"12","Mt Evelyn South","177","642","656","81","1556"
"13","Rolling Hills","102","643","608","82","1435"
"14","Seville","96","607","482","59","1244"
"15","Wandin Yallock","80","703","473","63","1319"
"16","Ordinary Votes Total","1819","9288","8222","1173","20502"
"17","",NA,NA,NA,NA,NA
"18","Postal Votes","280","1766","1135","213","3394"
"19","Early Votes","1189","6360","4494","679","12722"
"20","Marked As Voted Votes","0","0","0","0","0"
"21","Provisional Votes","36","64","89","10","199"
"22","Absent Votes","462","1088","1226","236","3012"
"23","Total","3786","18566","15166","2311","39829"
"24","",NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","10.09%","49.49%","40.42%","",""
