"","
Voting Centres
","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Fairhills","420","96","436","81","1033"
"2","Ferntree Gully","431","137","455","65","1088"
"3","Ferntree Gully Central","80","26","69","17","192"
"4","Ferntree Gully North","371","104","336","39","850"
"5","Ferntree Gully West","629","140","592","74","1435"
"6","Flamingo","386","80","562","64","1092"
"7","Knox Gardens","802","143","874","78","1897"
"8","Knox Park","461","93","461","66","1081"
"9","Knoxfield North","306","68","348","33","755"
"10","Mountain Gate","691","162","642","111","1606"
"11","Scoresby","182","36","244","26","488"
"12","Studfield East","594","130","546","99","1369"
"13","Templeton","515","97","484","69","1165"
"14","Wantirna","417","106","501","46","1070"
"15","Wantirna North","450","98","493","58","1099"
"16","Wantirna South","460","93","473","64","1090"
"17","Wantirna West","247","36","230","21","534"
"18","Ordinary Votes Total","7442","1645","7746","1011","17844"
"19","",NA,NA,NA,NA,NA
"20","Postal Votes","1031","237","1553","252","3073"
"21","Early Votes","5295","1196","7554","749","14794"
"22","Marked As Voted Votes","0","0","0","0","0"
"23","Provisional Votes","65","23","72","4","164"
"24","Absent Votes","785","313","689","146","1933"
"25","Total","14618","3414","17614","2162","37808"
"26","",NA,NA,NA,NA,NA
"27","Percentage of formal vote polled by candidate","41.01%","9.58%","49.41%","",""
