"","
Voting Centres
","
","DERRYN HINCH'S JUSTICE PARTY","AUSTRALIAN GREENS","LABOUR DLP","LIBERAL","ANIMAL JUSTICE PARTY","TRANSPORT MATTERS","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Aldercourt","17","53","38","32","180","34","9","496","92","951"
"2","Baden Powell","34","33","95","16","449","24","3","469","49","1172"
"3","Ballam Park","19","39","68","28","205","20","6","418","62","865"
"4","Bruce Park","15","40","74","24","304","18","6","445","25","951"
"5","Derinya","23","39","86","25","478","32","6","622","47","1358"
"6","Frankston","12","17","25","12","92","10","1","195","29","393"
"7","Frankston Beach","30","27","71","21","264","19","5","349","46","832"
"8","Frankston East","49","76","101","74","428","54","11","823","139","1755"
"9","Frankston Forest","16","31","37","30","96","23","5","304","49","591"
"10","Frankston Heights","23","38","83","20","242","20","2","518","60","1006"
"11","Frankston Rail","18","23","77","29","128","20","3","303","43","644"
"12","Frankston South","60","47","170","62","534","89","11","888","76","1937"
"13","John Paul College","29","60","95","63","447","43","8","674","113","1532"
"14","Kananook","12","32","50","21","115","23","1","228","35","517"
"15","Karingal Heights","25","70","88","77","406","41","8","678","83","1476"
"16","Kingsley Park","14","52","99","33","465","48","6","746","73","1536"
"17","Mt Erin","27","74","101","53","721","49","6","806","94","1931"
"18","Ordinary Votes Total","423","751","1358","620","5554","567","97","8962","1115","19447"
"19","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Postal Votes","64","188","172","71","1409","117","22","1502","225","3770"
"21","Early Votes","232","494","928","508","4366","305","92","5396","791","13112"
"22","Marked As Voted Votes","0","0","0","0","1","0","0","0","0","1"
"23","Provisional Votes","6","12","29","8","72","17","2","114","20","280"
"24","Absent Votes","65","119","294","159","603","136","29","870","252","2527"
"25","Total","790","1564","2781","1366","12005","1142","242","16844","2403","39137"
"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Percentage of formal vote polled by candidate","2.15%","4.26%","7.57%","3.72%","32.68%","3.11%","0.66%","45.85%","",""
