"","
Voting Centres
","LIBERAL","ANIMAL JUSTICE PARTY","
","
.1","VICTORIAN SOCIALISTS","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","
.2","
Informal votes
","
Total votes polled
"
"1","Aberdeen","203","9","2","2","5","70","207","170","26","694"
"2","Barwon","211","32","3","5","20","192","515","318","61","1357"
"3","Belmont","141","28","4","1","9","84","277","104","23","671"
"4","Belmont North","243","40","8","9","12","130","466","243","50","1201"
"5","Belmont West","111","7","3","2","4","57","214","111","21","530"
"6","Britannia","140","19","2","2","8","102","363","190","24","850"
"7","Chilwell","471","38","2","42","14","169","568","364","53","1721"
"8","Fyans Park","212","8","6","1","6","65","235","183","27","743"
"9","Geelong","240","60","10","5","18","149","583","370","53","1488"
"10","Geelong East","143","29","6","3","19","87","517","272","79","1155"
"11","Geelong West","196","19","10","9","22","161","570","288","55","1330"
"12","Kardinia Park","66","10","0","3","3","37","143","78","15","355"
"13","Kidman","96","26","13","0","5","60","242","107","23","572"
"14","Manifold Heights","261","22","4","7","21","142","663","340","49","1509"
"15","Manifold Heights West","106","12","3","2","10","65","278","123","31","630"
"16","Newcomb","141","31","9","5","20","62","538","268","63","1137"
"17","Newcomb South","75","28","8","13","7","48","284","153","51","667"
"18","Oberon","129","13","9","7","7","61","295","154","40","715"
"19","Shannon","271","20","2","5","12","131","463","287","44","1235"
"20","St Albans Park","133","20","4","5","16","23","435","252","50","938"
"21","Thomson","96","27","4","2","7","96","377","162","53","824"
"22","Whittington","39","9","2","1","3","10","165","73","28","330"
"23","Whittington South","115","26","11","7","8","34","426","269","59","955"
"24","Ordinary Votes Total","3839","533","125","138","256","2035","8824","4879","978","21607"
"25","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","All Votes Votes","0","0","0","0","0","0","0","0","0","0"
"27","Postal Votes","704","90","12","6","17","201","1067","670","96","2863"
"28","Early Votes","3231","414","143","101","156","1390","5571","3931","684","15621"
"29","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0"
"30","Provisional Votes","41","18","1","1","5","38","71","74","9","258"
"31","Absent Votes","512","118","19","10","30","258","1147","640","183","2917"
"32","Total","8327","1173","300","256","464","3922","16680","10194","1950","43266"
"33","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Percentage of formal vote polled by candidate","20.15%","2.84%","0.73%","0.62%","1.12%","9.49%","40.37%","24.67%","",""
