"","
Voting Centres
","LIBERAL DEMOCRATS","
","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","THE NATIONALS","
.1","
.2","
Informal votes
","
Total votes polled
"
"1","Bairnsdale","70","48","87","172","473","6","35","73","964"
"2","Bairnsdale East","11","9","15","48","109","3","7","19","221"
"3","Bairnsdale West","87","58","73","281","742","10","55","78","1384"
"4","Benambra","9","0","2","4","62","1","0","6","84"
"5","Bendoc","5","0","0","2","16","0","0","2","25"
"6","Boisdale","13","3","13","27","153","6","3","11","229"
"7","Briagolong","26","21","35","166","190","11","5","25","479"
"8","Bruthen","41","27","57","111","293","3","12","33","577"
"9","Buchan","19","8","20","35","88","0","2","9","181"
"10","Bundalaguah","3","2","17","32","175","12","0","15","256"
"11","Cann River","6","0","17","28","44","2","4","8","109"
"12","Cobains","7","1","3","9","84","8","1","4","117"
"13","Coongulla","7","2","6","14","46","1","3","5","84"
"14","Dargo","7","0","1","6","36","0","0","2","52"
"15","Eagle Point","19","11","32","109","195","1","35","41","443"
"16","Ellaswood","8","25","24","38","186","3","17","12","313"
"17","Ensay","11","3","3","15","42","0","2","3","79"
"18","Genoa","4","1","11","21","15","0","0","5","57"
"19","Glenmaggie","12","1","2","29","86","3","5","9","147"
"20","Heyfield","53","27","26","168","588","25","44","70","1001"
"21","Johnsonville","44","26","29","141","386","10","21","36","693"
"22","Lakes Entrance","135","60","77","536","867","19","36","125","1855"
"23","Lakes Entrance East","44","20","37","231","470","15","11","48","876"
"24","Lindenow","34","48","18","70","340","4","25","32","571"
"25","Lucknow","41","19","35","116","358","9","19","37","634"
"26","Lucknow West","45","38","40","140","491","8","25","50","837"
"27","Maffra","79","61","68","396","1005","55","31","112","1807"
"28","Mallacoota","36","20","126","170","241","5","8","30","636"
"29","Marlo","11","4","30","84","187","3","6","23","348"
"30","Meerlieu","4","2","4","12","38","2","8","4","74"
"31","Metung","23","16","40","156","262","0","9","31","537"
"32","Newlands Arm","10","9","12","81","130","1","34","27","304"
"33","Newmerella","30","4","11","66","269","4","4","27","415"
"34","Newry","12","2","18","37","174","7","2","22","274"
"35","Nicholson","39","11","21","85","236","2","11","21","426"
"36","Nowa Nowa","20","4","8","53","101","5","3","11","205"
"37","Nungurner","14","9","23","53","142","3","9","9","262"
"38","Omeo","17","5","3","40","154","5","1","16","241"
"39","Orbost","65","26","62","233","553","7","12","89","1047"
"40","Paynesville","57","55","68","334","644","6","56","75","1295"
"41","Stratford","51","31","47","190","487","167","21","55","1049"
"42","Swifts Creek","31","4","8","49","114","3","3","6","218"
"43","Tinamba","11","1","4","27","135","7","1","12","198"
"44","Toorloo Arm","45","6","55","149","359","7","8","50","679"
"45","Valencia Creek","2","2","2","17","63","2","1","5","94"
"46","Ordinary Votes Total","1318","730","1290","4781","11829","451","595","1383","22377"
"47","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Postal Votes","153","61","178","413","1061","29","68","81","2044"
"49","Early Votes","886","679","825","3044","8868","320","517","835","15974"
"50","Marked As Voted Votes","0","0","0","0","0","0","0","0","0"
"51","Provisional Votes","25","6","38","57","158","6","13","17","320"
"52","Absent Votes","125","33","124","294","522","36","17","95","1246"
"53","Total","2507","1509","2455","8589","22438","842","1210","2411","41961"
"54","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Percentage of formal vote polled by candidate","6.34%","3.82%","6.21%","21.72%","56.73%","2.13%","3.06%","",""
