"","
Voting Centres
","THE NATIONALS","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Alberton","246","11","81","17","355"
"2","Arawata","141","12","35","7","195"
"3","Bena","157","26","54","9","246"
"4","Berrys Creek","69","9","16","1","95"
"5","Devon North","216","22","46","20","304"
"6","Dumbalk","174","30","50","13","267"
"7","Fish Creek","260","97","109","26","492"
"8","Foster","544","117","292","44","997"
"9","Golden Beach","91","10","68","20","189"
"10","Gormandale","248","26","55","25","354"
"11","Kilmany","72","1","6","2","81"
"12","Kongwak","112","20","33","5","170"
"13","Koonwarra","151","31","44","10","236"
"14","Korumburra","818","142","547","86","1593"
"15","Leongatha","437","78","207","59","781"
"16","Leongatha East","252","44","125","25","446"
"17","Leongatha South","118","7","23","4","152"
"18","Loch","129","28","77","12","246"
"19","Loch Sport","185","21","174","23","403"
"20","Longford","244","29","84","28","385"
"21","Mardan","59","2","13","8","82"
"22","Meeniyan","303","37","100","24","464"
"23","Mirboo North","503","193","388","69","1153"
"24","Mount Eccles","85","7","26","0","118"
"25","Nambrok","161","7","26","12","206"
"26","Nerrena","84","5","16","3","108"
"27","Nyora","328","60","239","54","681"
"28","Poowong","281","38","135","25","479"
"29","Port Albert","126","24","69","14","233"
"30","Port Franklin","122","16","25","7","170"
"31","Rosedale","468","41","265","56","830"
"32","Sale","703","126","355","74","1258"
"33","Sale East","584","93","246","51","974"
"34","Sale North","490","97","292","58","937"
"35","Sandy Point","72","24","39","7","142"
"36","Seaspray","93","7","43","25","168"
"37","Staceys Bridge","105","7","13","2","127"
"38","Stradbroke","77","8","23","3","111"
"39","Tarwin Lower","225","88","217","44","574"
"40","Toora","269","66","123","23","481"
"41","Welshpool","276","25","87","29","417"
"42","Won Wron","123","20","36","6","185"
"43","Woodside","202","7","81","15","305"
"44","Wurruk","119","11","48","12","190"
"45","Yanakie","84","14","30","12","140"
"46","Yarram","720","74","298","85","1177"
"47","Ordinary Votes Total","11326","1858","5359","1154","19697"
"48","",NA,NA,NA,NA,NA
"49","Postal Votes","766","146","362","100","1374"
"50","Early Votes","9891","1291","4112","738","16032"
"51","Marked As Voted Votes","0","0","0","0","0"
"52","Provisional Votes","137","40","73","15","265"
"53","Absent Votes","693","238","558","124","1613"
"54","Total","22813","3573","10464","2131","38981"
"55","",NA,NA,NA,NA,NA
"56","Percentage of formal vote polled by candidate","61.91%","9.70%","28.40%","",""
