"","
Voting Centres
","LIBERAL","
","TRANSPORT MATTERS","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","ANIMAL JUSTICE PARTY","
Informal votes
","
Total votes polled
"
"1","Aspendale Gardens","128","4","4","172","28","13","12","361"
"2","Chapel","607","105","64","1431","138","85","142","2572"
"3","Coomoora","385","227","12","1118","58","35","149","1984"
"4","Dingley","809","40","21","1014","75","148","140","2247"
"5","Heatherhill","216","146","15","616","37","23","90","1143"
"6","Keysborough Park","219","24","10","376","35","21","28","713"
"7","Kingswood","515","10","9","620","63","57","71","1345"
"8","Loxwood","272","43","20","672","56","26","60","1149"
"9","Maralinga","239","49","21","712","51","14","114","1200"
"10","Noble Park","243","87","57","743","69","28","152","1379"
"11","Noble Park South","283","90","19","769","47","45","149","1402"
"12","Southvale","114","73","15","425","31","21","58","737"
"13","Springvale","96","40","2","188","15","5","34","380"
"14","Springvale South","333","215","14","977","50","35","159","1783"
"15","Wallarano","416","106","39","1058","75","46","170","1910"
"16","Ordinary Votes Total","4875","1259","322","10891","828","602","1528","20305"
"17","",NA,NA,NA,NA,NA,NA,NA,NA
"18","Postal Votes","1041","175","41","1680","167","187","243","3534"
"19","Early Votes","4411","818","242","7042","685","513","776","14487"
"20","Marked As Voted Votes","0","0","0","0","0","0","0","0"
"21","Provisional Votes","59","23","7","152","20","7","20","288"
"22","Absent Votes","533","126","68","1035","182","98","185","2227"
"23","Total","10919","2401","680","20800","1882","1407","2752","40841"
"24","",NA,NA,NA,NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","28.67%","6.30%","1.79%","54.61%","4.94%","3.69%","",""
