"","
Voting Centres
","ANIMAL JUSTICE PARTY","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Albanvale","96","76","766","139","77","1154"
"2","Brookside","191","274","1969","676","212","3322"
"3","Cairnlea","121","197","1235","295","142","1990"
"4","Caroline Springs","121","131","1135","450","114","1951"
"5","Creekside","109","108","1074","396","126","1813"
"6","Deer Park Central","83","72","785","185","119","1244"
"7","Deer Park North","38","25","331","87","59","540"
"8","Deer Park West","102","90","841","248","102","1383"
"9","Kings Park","98","109","816","168","110","1301"
"10","Mount Derrimut","81","132","849","207","95","1364"
"11","Rockbank","50","34","501","186","86","857"
"12","Stevensville","42","35","497","94","74","742"
"13","Ordinary Votes Total","1132","1283","10799","3131","1316","17661"
"14","",NA,NA,NA,NA,NA,NA
"15","Postal Votes","234","200","1498","610","213","2755"
"16","Early Votes","1548","1792","12643","4264","1489","21736"
"17","Marked As Voted Votes","0","0","0","0","0","0"
"18","Provisional Votes","44","53","265","64","39","465"
"19","Absent Votes","222","287","1564","515","205","2793"
"20","Total","3180","3615","26769","8584","3262","45410"
"21","",NA,NA,NA,NA,NA,NA
"22","Percentage of formal vote polled by candidate","7.54%","8.58%","63.51%","20.37%","",""
