"","
Voting Centres
","VICTORIAN SOCIALISTS","ANIMAL JUSTICE PARTY","LIBERAL","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Anakie","7","13","164","25","189","17","415"
"2","Bell Park","32","37","213","82","605","71","1040"
"3","Bell Park South","38","25","154","31","387","60","695"
"4","Bisinella","28","83","282","112","670","55","1230"
"5","Corio","77","152","312","151","1397","173","2262"
"6","Corio Central","15","25","58","52","379","25","554"
"7","Corio West","85","124","160","86","1013","119","1587"
"8","Hamlyn Heights","55","95","400","193","851","83","1677"
"9","Lara","89","225","730","172","1307","151","2674"
"10","Lara Central","41","134","477","102","892","92","1738"
"11","Lara Lake","30","119","283","102","669","69","1272"
"12","Norlane","76","113","330","86","1023","146","1774"
"13","Norlane West","44","61","133","76","709","70","1093"
"14","North Shore","47","69","141","114","704","87","1162"
"15","Rollins","55","64","292","62","731","73","1277"
"16","St Helens","30","43","243","116","499","45","976"
"17","Ordinary Votes Total","749","1382","4372","1562","12025","1336","21426"
"18","",NA,NA,NA,NA,NA,NA,NA
"19","Postal Votes","46","221","668","160","1151","177","2423"
"20","Early Votes","419","788","3405","742","7270","663","13287"
"21","Marked As Voted Votes","0","0","0","0","0","0","0"
"22","Provisional Votes","11","16","37","23","106","11","204"
"23","Absent Votes","183","333","1077","479","2399","280","4751"
"24","Total","1408","2740","9559","2966","22951","2467","42091"
"25","",NA,NA,NA,NA,NA,NA,NA
"26","Percentage of formal vote polled by candidate","3.55%","6.92%","24.12%","7.49%","57.92%","",""
