"","
Voting Centres
","THE NATIONALS","
","AUSTRALIAN LABOR PARTY","VICTORIAN SOCIALISTS","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Antwerp","57","7","5","2","1","5","77"
"2","Apsley","216","12","36","4","3","8","279"
"3","Balmoral","164","6","49","2","5","17","243"
"4","Branxholme","70","3","30","0","4","3","110"
"5","Brim","93","6","14","0","2","6","121"
"6","Byaduk","35","2","12","0","6","3","58"
"7","Casterton","747","17","267","8","86","107","1232"
"8","Cavendish","181","14","44","0","7","10","256"
"9","Coleraine","385","27","154","11","41","40","658"
"10","Dadswells Bridge","41","5","11","0","3","3","63"
"11","Dartmoor","136","21","67","3","9","20","256"
"12","Dergholm","47","1","3","0","0","3","54"
"13","Dimboola","467","48","190","12","29","65","811"
"14","Dooen","98","1","14","2","2","3","120"
"15","Dunkeld","245","13","69","4","44","22","397"
"16","Edenhope","420","34","107","5","21","42","629"
"17","Glenthompson","89","5","29","2","7","7","139"
"18","Goroke","187","8","31","4","5","10","245"
"19","Halls Gap","71","19","67","3","27","7","194"
"20","Hamilton","98","3","46","1","10","9","167"
"21","Hamilton Central","1013","61","461","23","108","120","1786"
"22","Hamilton North","238","13","98","10","21","19","399"
"23","Harrow","131","3","25","4","6","6","175"
"24","Haven","371","44","78","8","33","31","565"
"25","Horsham East","808","98","249","23","72","57","1307"
"26","Horsham North","444","63","191","15","49","46","808"
"27","Horsham South","204","23","62","3","26","18","336"
"28","Horsham West","825","95","246","16","94","68","1344"
"29","Jeparit","159","10","56","2","7","18","252"
"30","Jung","49","12","17","0","0","4","82"
"31","Kaniva","462","26","83","4","19","27","621"
"32","Laharum","60","12","15","1","7","2","97"
"33","Lake Bolac","170","13","52","3","11","26","275"
"34","Merino","120","5","41","4","46","15","231"
"35","Minimay","47","4","2","0","0","3","56"
"36","Minyip","217","12","63","7","9","10","318"
"37","Moyston","107","9","69","0","20","7","212"
"38","Murra Warra","39","4","12","1","1","1","58"
"39","Murtoa","262","26","105","7","17","28","445"
"40","Natimuk","159","11","49","3","45","18","285"
"41","Netherby","42","1","6","0","0","2","51"
"42","Nhill","934","45","178","8","51","69","1285"
"43","Noradjuha","52","6","7","0","5","5","75"
"44","Patterson Park","390","19","202","8","50","48","717"
"45","Penshurst","215","17","73","6","10","11","332"
"46","Pimpinio","47","7","6","0","3","2","65"
"47","Pomonal","77","8","72","1","17","4","179"
"48","Quantong","56","5","14","1","4","1","81"
"49","Rainbow","286","11","50","2","9","16","374"
"50","Riverside","77","10","9","1","6","3","106"
"51","Rupanyup","164","17","57","5","3","19","265"
"52","Serviceton","64","4","2","0","0","4","74"
"53","Streatham","78","2","13","1","3","5","102"
"54","Tarrington","151","2","24","1","9","6","193"
"55","Tatyoon","59","1","9","0","0","1","70"
"56","Toolondo","59","5","12","0","3","1","80"
"57","Warracknabeal","888","79","200","14","44","57","1282"
"58","Willaura","170","12","49","3","9","14","257"
"59","Wonwondah North","47","2","2","1","3","0","55"
"60","Yanac","58","4","3","0","0","5","70"
"61","Ordinary Votes Total","13646","1053","4207","249","1132","1187","21474"
"62","",NA,NA,NA,NA,NA,NA,NA
"63","Postal Votes","1195","126","276","7","86","92","1782"
"64","Early Votes","9346","1140","2547","145","551","615","14344"
"65","Marked As Voted Votes","0","0","0","0","0","0","0"
"66","Provisional Votes","133","13","51","1","20","14","232"
"67","Absent Votes","1242","138","600","32","251","94","2357"
"68","Total","25562","2470","7681","434","2040","2002","40189"
"69","",NA,NA,NA,NA,NA,NA,NA
"70","Percentage of formal vote polled by candidate","66.94%","6.47%","20.11%","1.14%","5.34%","",""
