"","
Voting Centres
","LABOUR DLP","
","AUSTRALIAN LABOR PARTY","ANIMAL JUSTICE PARTY","LIBERAL","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Blackwood","15","10","147","11","59","30","24","296"
"2","Bolinda","10","8","120","7","117","15","20","297"
"3","Bullengarook","6","11","95","6","91","22","9","240"
"4","Clarkefield","3","3","24","0","25","1","5","61"
"5","Darraweit Guim","8","7","77","4","96","15","13","220"
"6","Daylesford","31","51","793","108","348","257","106","1694"
"7","Drummond","7","15","170","9","78","31","15","325"
"8","Elphinstone","9","10","155","12","117","34","15","352"
"9","Gisborne","29","35","695","52","484","122","63","1480"
"10","Gisborne South","15","19","354","19","232","57","23","719"
"11","Glenlyon","17","22","274","14","131","79","31","568"
"12","Hepburn Springs","14","21","415","26","149","100","25","750"
"13","Kyneton","34","103","878","54","498","168","75","1810"
"14","Kyneton East","42","44","600","42","372","117","52","1269"
"15","Lancefield","68","58","603","73","442","78","80","1402"
"16","Macedon","18","26","369","14","233","90","40","790"
"17","Malmsbury","26","33","318","19","170","91","25","682"
"18","Mount Macedon","8","13","220","14","202","62","12","531"
"19","New Gisborne","16","19","425","36","313","60","48","917"
"20","Newham","7","23","205","28","186","48","32","529"
"21","Riddell","49","27","770","70","377","116","59","1468"
"22","Romsey","84","46","1090","83","555","108","124","2090"
"23","Taradale","4","11","144","10","73","78","19","339"
"24","Toolern","17","10","115","11","111","11","20","295"
"25","Trentham","24","25","432","27","232","97","31","868"
"26","Tylden","10","12","239","14","154","42","33","504"
"27","Woodend","53","76","1126","110","510","313","112","2300"
"28","Yandoit","4","5","69","6","51","33","10","178"
"29","Ordinary Votes Total","628","743","10922","879","6406","2275","1121","22974"
"30","",NA,NA,NA,NA,NA,NA,NA,NA
"31","Postal Votes","119","127","1733","181","1782","300","182","4424"
"32","Early Votes","364","258","5324","353","3948","906","528","11681"
"33","Marked As Voted Votes","0","0","0","0","0","0","0","0"
"34","Provisional Votes","18","8","123","16","56","36","10","267"
"35","Absent Votes","167","94","1149","155","644","419","151","2779"
"36","Total","1296","1230","19251","1584","12836","3936","1992","42125"
"37","",NA,NA,NA,NA,NA,NA,NA,NA
"38","Percentage of formal vote polled by candidate","3.23%","3.06%","47.97%","3.95%","31.98%","9.81%","",""
