"","
Voting Centres
","
","LIBERAL","
.1","
.2","AUSTRALIAN GREENS","
.3","LABOUR DLP","VICTORIAN SOCIALISTS","ANIMAL JUSTICE PARTY","
.4","AUSTRALIAN LABOR PARTY","
.5","
Informal votes
","
Total votes polled
"
"1","Bacchus Marsh","114","368","27","124","97","23","33","21","43","43","566","15","156","1630"
"2","Bacchus Marsh Central","86","378","33","189","111","34","40","6","41","59","577","25","180","1759"
"3","Brookfield","117","269","9","65","109","85","31","8","24","251","529","26","161","1684"
"4","Bulmans","239","307","20","154","125","126","50","27","59","326","780","65","262","2540"
"5","Coburn","146","206","12","112","75","111","62","6","37","156","554","27","257","1761"
"6","Darley","128","700","48","387","124","63","83","20","97","82","1193","62","361","3348"
"7","Exford","65","116","3","40","19","15","20","3","11","53","198","12","57","612"
"8","Eynesbury","131","162","4","74","18","19","15","2","13","70","248","15","51","822"
"9","Kurunjang","169","268","5","97","82","69","50","7","44","239","669","38","210","1947"
"10","Melton","163","319","4","114","68","93","41","9","42","242","642","48","219","2004"
"11","Melton Central","97","148","4","44","48","44","23","2","20","125","328","36","132","1051"
"12","Melton South","133","175","5","65","94","66","44","4","39","478","526","22","207","1858"
"13","Melton West","171","172","10","53","65","71","49","11","57","226","539","44","165","1633"
"14","Ordinary Votes Total","1759","3588","184","1518","1035","819","541","126","527","2350","7349","435","2418","22649"
"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Postal Votes","234","736","39","235","93","113","44","17","130","101","1124","44","185","3095"
"17","Early Votes","1932","3115","181","978","641","1254","464","114","401","1882","5305","359","1807","18433"
"18","Marked As Voted Votes","0","0","0","0","0","0","0","0","1","1","1","0","0","3"
"19","Provisional Votes","35","48","3","14","32","17","18","0","14","33","135","7","43","399"
"20","Absent Votes","148","357","17","97","179","57","99","18","112","35","777","33","251","2180"
"21","Total","4108","7844","424","2842","1980","2260","1166","275","1185","4402","14691","878","4704","46759"
"22","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Percentage of formal vote polled by candidate","9.77%","18.65%","1.01%","6.76%","4.71%","5.37%","2.77%","0.65%","2.82%","10.47%","34.93%","2.09%","",""
