"","
Voting Centres
","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","THE NATIONALS","
","
.1","
Informal votes
","
Total votes polled
"
"1","Berriwillock","18","3","69","8","4","5","107"
"2","Beulah","27","4","137","5","8","12","193"
"3","Birchip","101","11","238","39","107","32","528"
"4","Boundary Bend","12","0","45","4","10","1","72"
"5","Cabarita","51","7","196","39","160","17","470"
"6","Cardross","45","13","147","44","168","15","432"
"7","Culgoa","13","4","34","2","11","4","68"
"8","Cullulleraine","4","2","38","5","18","2","69"
"9","Hopetoun","91","7","262","14","48","25","447"
"10","Irymple","164","28","362","89","385","65","1093"
"11","Koorlong","21","4","110","25","99","10","269"
"12","Manangatang","34","4","149","3","16","5","211"
"13","Merbein","191","49","442","75","463","77","1297"
"14","Mildura","349","90","522","125","720","88","1894"
"15","Mildura City Central","284","84","389","94","538","74","1463"
"16","Mildura Deakin","238","60","335","78","391","70","1172"
"17","Mildura Ranfurly","191","47","407","64","486","81","1276"
"18","Mildura South","182","36","283","73","363","58","995"
"19","Mildura West","259","73","411","72","541","59","1415"
"20","Murrayville","15","8","173","7","15","14","232"
"21","Nandaly","4","1","31","3","2","0","41"
"22","Nangiloc","27","12","89","8","46","8","190"
"23","Nichols Point","65","14","220","25","226","31","581"
"24","Nullawil","17","6","39","9","9","2","82"
"25","Ouyen","69","16","367","23","118","42","635"
"26","Patchewollock","10","1","57","0","9","2","79"
"27","Piangil","22","4","114","5","14","10","169"
"28","Red Cliffs","264","48","485","98","551","83","1529"
"29","Robinvale","152","25","490","23","302","72","1064"
"30","Sea Lake","86","11","189","11","48","19","364"
"31","Speed","10","2","75","1","9","4","101"
"32","Sunnycliffs","33","12","95","17","67","6","230"
"33","Underbool","12","5","104","6","20","13","160"
"34","Walpeup","11","1","52","4","17","2","87"
"35","Watchem","15","3","37","2","4","1","62"
"36","Wemen","4","3","42","3","15","2","69"
"37","Werrimull","10","1","36","5","3","4","59"
"38","Woomelang","23","11","116","2","12","14","178"
"39","Wycheproof","75","12","241","14","69","30","441"
"40","Yaapeet","7","1","39","1","2","3","53"
"41","Ordinary Votes Total","3206","723","7667","1125","6094","1062","19877"
"42","",NA,NA,NA,NA,NA,NA,NA
"43","All Votes Votes","0","0","0","0","0","0","0"
"44","Postal Votes","216","36","521","74","281","43","1171"
"45","Early Votes","2694","578","5941","1278","5586","832","16909"
"46","Marked As Voted Votes","0","0","0","0","0","0","0"
"47","Provisional Votes","75","26","106","26","113","12","358"
"48","Absent Votes","213","51","419","52","106","47","888"
"49","Total","6404","1414","14654","2555","12180","1996","39203"
"50","",NA,NA,NA,NA,NA,NA,NA
"51","Percentage of formal vote polled by candidate","17.21%","3.80%","39.39%","6.87%","32.74%","",""
