"","
Voting Centres
","LABOUR DLP","LIBERAL","
","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Belgrave","30","203","38","440","269","50","1030"
"2","Belgrave South","61","686","47","750","294","81","1919"
"3","Ferntree Gully Upper","48","394","32","632","203","66","1375"
"4","Ferny Creek","13","228","12","282","118","22","675"
"5","Kallista","16","211","28","357","200","25","837"
"6","Kilsyth","45","282","22","297","77","73","796"
"7","Kilsyth South","42","338","23","395","60","57","915"
"8","Lilydale Lake","7","137","7","106","23","19","299"
"9","Macclesfield","5","208","15","198","45","27","498"
"10","Menzies Creek","11","138","18","161","69","15","412"
"11","Monbulk Central","43","557","59","607","196","74","1536"
"12","Montrose","61","844","45","942","188","120","2200"
"13","Montrose South","13","323","10","306","86","31","769"
"14","Mooroolbark East","52","682","36","687","121","69","1647"
"15","Mooroolbark South","27","322","15","268","68","37","737"
"16","Mount Dandenong","9","170","15","231","110","17","552"
"17","Narre Warren East","4","126","4","55","18","13","220"
"18","Olinda","11","102","7","150","80","19","369"
"19","Sassafras","7","144","13","248","108","22","542"
"20","Selby","19","182","36","326","162","21","746"
"21","Silvan","9","301","9","168","52","35","574"
"22","Tecoma","56","544","85","972","414","100","2171"
"23","The Patch","8","120","17","256","124","19","544"
"24","Upwey","37","466","100","763","342","75","1783"
"25","Wandin East","3","143","4","97","15","13","275"
"26","Ordinary Votes Total","637","7851","697","9694","3442","1100","23421"
"27","",NA,NA,NA,NA,NA,NA,NA
"28","Postal Votes","85","1492","129","1267","382","165","3520"
"29","Early Votes","340","3621","260","3843","1504","503","10071"
"30","Marked As Voted Votes","0","0","0","0","1","0","1"
"31","Provisional Votes","14","53","1","80","36","13","197"
"32","Absent Votes","175","806","89","1028","461","157","2716"
"33","Total","1251","13823","1176","15912","5826","1938","39926"
"34","",NA,NA,NA,NA,NA,NA,NA
"35","Percentage of formal vote polled by candidate","3.29%","36.39%","3.10%","41.89%","15.34%","",""
