"","
Voting Centres
","
","AUSTRALIAN LABOR PARTY","DERRYN HINCH'S JUSTICE PARTY","
.1","AUSTRALIAN GREENS","
.2","ANIMAL JUSTICE PARTY","TRANSPORT MATTERS","LIBERAL","LABOUR DLP","
Informal votes
","
Total votes polled
"
"1","Aspendale","46","1069","40","6","160","2","59","13","715","43","107","2260"
"2","Aspendale Gardens","40","1099","60","11","108","2","70","15","573","43","142","2163"
"3","Chelsea","6","279","15","2","47","0","25","1","123","5","26","529"
"4","Chelsea Central","8","528","32","2","73","1","21","8","188","20","61","942"
"5","Chelsea Heights","39","1163","62","2","110","3","49","10","382","37","152","2009"
"6","Cheltenham East","9","191","10","2","27","2","13","1","109","3","23","390"
"7","Cheltenham South","32","619","18","1","83","2","32","7","332","10","80","1216"
"8","Edithvale","28","1086","53","7","181","4","50","10","587","20","132","2158"
"9","Mentone","21","244","13","2","44","1","16","4","195","6","37","583"
"10","Mentone North","18","453","23","3","82","1","17","1","301","12","65","976"
"11","Mentone Park","38","465","27","1","73","2","19","3","291","8","52","979"
"12","Mordialloc East","31","733","38","24","120","2","30","5","421","33","104","1541"
"13","Parkdale","57","777","29","5","152","7","53","5","594","28","102","1809"
"14","Parkdale Central","14","478","23","2","75","0","21","2","290","8","44","957"
"15","Parkdale East","27","1013","53","4","161","4","54","9","616","32","126","2099"
"16","Ordinary Votes Total","414","10197","496","74","1496","33","529","94","5717","308","1253","20611"
"17","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Postal Votes","46","1341","118","18","195","9","89","16","1124","37","185","3178"
"19","Early Votes","356","7501","409","64","1157","38","395","82","5144","245","890","16281"
"20","Marked As Voted Votes","0","1","0","0","1","0","0","0","0","0","0","2"
"21","Provisional Votes","3","104","9","1","21","0","9","4","68","6","17","242"
"22","Absent Votes","40","847","70","10","265","9","95","25","482","47","229","2119"
"23","Total","859","19991","1102","167","3135","89","1117","221","12535","643","2574","42433"
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","2.16%","50.15%","2.76%","0.42%","7.87%","0.22%","2.80%","0.55%","31.45%","1.61%","",""
