"","
Voting Centres
","AUSSIE BATTLER PARTY","THE NATIONALS","
","AUSTRALIAN LABOR PARTY","SHOOTERS, FISHERS & FARMERS VIC","
.1","AUSTRALIAN GREENS","LIBERAL","
.2","LABOUR DLP","
.3","
Informal votes
","
Total votes polled
"
"1","Boolarra","15","71","16","162","41","30","45","52","125","5","2","60","624"
"2","Churchill","28","147","33","658","102","105","76","102","254","24","11","160","1700"
"3","Cowwarr","1","28","0","31","17","2","9","26","18","4","0","12","148"
"4","Glengarry","5","93","4","124","78","22","11","69","131","7","4","38","586"
"5","Hazelwood North","9","106","13","230","78","49","16","106","145","4","1","51","808"
"6","Moe","11","25","4","212","34","11","13","59","33","21","7","62","492"
"7","Morwell","23","55","31","371","36","144","43","71","137","15","9","111","1046"
"8","Morwell Central","35","57","27","426","52","121","30","97","194","13","12","115","1179"
"9","Morwell East","24","37","25","235","36","95","21","42","93","8","3","66","685"
"10","Morwell Estate","48","95","44","634","65","150","49","120","245","24","8","173","1655"
"11","Newborough","35","58","18","641","89","88","43","219","148","33","12","150","1534"
"12","Newborough East","27","53","14","517","83","58","15","146","123","18","3","98","1155"
"13","Toongabbie","6","49","4","100","77","9","16","42","78","4","2","34","421"
"14","Traralgon","48","279","33","601","102","46","94","272","413","37","8","131","2064"
"15","Traralgon East","45","160","37","531","112","51","58","181","263","32","11","107","1588"
"16","Traralgon North","29","158","30","498","89","70","71","194","316","26","11","115","1607"
"17","Traralgon North East","14","86","17","163","27","13","18","92","102","11","2","34","579"
"18","Traralgon South","3","48","1","107","49","1","22","35","98","6","2","23","395"
"19","Traralgon West","7","52","10","144","23","10","15","65","96","4","0","27","453"
"20","Tyers","3","40","7","94","32","12","9","46","49","5","1","25","323"
"21","Yallourn North","11","47","7","250","106","31","19","36","78","14","2","63","664"
"22","Yinnar","10","87","24","256","54","66","36","94","201","10","0","69","907"
"23","Ordinary Votes Total","437","1831","399","6985","1382","1184","729","2166","3340","325","111","1724","20613"
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","All Votes Votes","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Postal Votes","46","188","45","539","119","120","78","241","329","22","17","94","1838"
"27","Early Votes","330","2148","368","5731","1207","1041","534","2354","3988","249","93","1441","19484"
"28","Marked As Voted Votes","0","0","0","1","0","0","0","0","0","0","0","1","2"
"29","Provisional Votes","11","18","9","84","21","7","22","26","38","8","2","21","267"
"30","Absent Votes","68","98","20","385","127","36","97","168","156","50","14","155","1374"
"31","Total","892","4283","841","13725","2856","2388","1460","4955","7851","654","237","3436","43578"
"32","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Percentage of formal vote polled by candidate","2.22%","10.67%","2.10%","34.19%","7.11%","5.95%","3.64%","12.34%","19.56%","1.63%","0.59%","",""
