"","
Voting Centres
","AUSTRALIAN LABOR PARTY","LIBERAL","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Essex Heights","822","745","204","84","1855"
"2","Glen Waverley","268","227","36","28","559"
"3","Glen Waverley Central","296","263","63","41","663"
"4","Glen Waverley Lower","171","153","24","22","370"
"5","Glen Waverley South","613","564","106","97","1380"
"6","Glendal","768","717","156","81","1722"
"7","Mount View","885","923","162","85","2055"
"8","Mount Waverley North","466","334","120","46","966"
"9","Mount Waverley South","1067","985","282","107","2441"
"10","Pinewood","857","817","165","114","1953"
"11","Syndal North","601","566","129","79","1375"
"12","Syndal South","646","694","148","52","1540"
"13","The Glen","577","438","90","66","1171"
"14","Ordinary Votes Total","8037","7426","1685","902","18050"
"15","",NA,NA,NA,NA,NA
"16","Postal Votes","1266","1846","268","280","3660"
"17","Early Votes","4542","5509","1134","486","11671"
"18","Marked As Voted Votes","0","0","0","0","0"
"19","Provisional Votes","104","74","45","5","228"
"20","Absent Votes","773","640","312","122","1847"
"21","Total","14722","15495","3444","1795","35456"
"22","",NA,NA,NA,NA,NA
"23","Percentage of formal vote polled by candidate","43.74%","46.03%","10.23%","",""
