"","
Voting Centres
","SHOOTERS, FISHERS & FARMERS VIC","AUSTRALIAN GREENS","THE NATIONALS","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Ballendella","8","2","89","9","8","116"
"2","Bamawm","23","3","87","16","10","139"
"3","Bamawm Extension","41","2","131","15","6","195"
"4","Beverford","34","7","106","22","6","175"
"5","Boort","44","19","449","63","26","601"
"6","Calivil","17","1","47","15","5","85"
"7","Cohuna","194","32","1103","268","76","1673"
"8","Dingwall","11","3","76","5","5","100"
"9","Echuca","274","116","835","456","118","1799"
"10","Echuca East","265","71","591","377","84","1388"
"11","Echuca South","113","45","434","176","53","821"
"12","Gunbower","45","8","190","52","39","334"
"13","Kerang","220","43","698","185","66","1212"
"14","Kerang North","154","17","674","141","37","1023"
"15","Koondrook","119","6","419","103","48","695"
"16","Koyuga","21","5","105","16","13","160"
"17","Ky Valley","129","19","391","54","43","636"
"18","Kyabram","556","136","1386","631","157","2866"
"19","Lake Boga","59","13","309","75","25","481"
"20","Lake Charm","24","6","122","23","12","187"
"21","Lalbert","3","1","47","1","3","55"
"22","Lancaster","80","26","294","70","28","498"
"23","Leitchville","49","3","261","38","26","377"
"24","Lockington","71","9","348","75","26","529"
"25","Macorna","19","0","30","7","4","60"
"26","Mitiamo","12","0","41","10","3","66"
"27","Murrabit","46","6","134","22","12","220"
"28","Nanneella","47","7","197","30","14","295"
"29","Nyah","35","3","174","38","29","279"
"30","Nyah West","40","11","153","39","22","265"
"31","Pyramid Hill","51","5","213","60","25","354"
"32","Quambatook","16","2","118","23","11","170"
"33","Rochester","198","72","918","397","121","1706"
"34","Swan Hill","148","34","592","152","53","979"
"35","Swan Hill North","61","29","316","79","33","518"
"36","Swan Hill South","30","6","139","21","8","204"
"37","Swan Hill West","136","31","470","134","54","825"
"38","Tongala","160","25","433","123","43","784"
"39","Torrumbarry","25","6","100","33","11","175"
"40","Ultima","17","3","58","12","3","93"
"41","Undera","45","10","136","27","14","232"
"42","Woorinen","30","11","154","32","13","240"
"43","Wyuna","30","2","136","19","12","199"
"44","Yarrawalla South","7","3","41","3","4","58"
"45","Ordinary Votes Total","3707","859","13745","4147","1409","23867"
"46","",NA,NA,NA,NA,NA,NA
"47","Postal Votes","199","54","878","278","91","1500"
"48","Early Votes","2058","588","8687","2825","665","14823"
"49","Marked As Voted Votes","0","0","0","0","0","0"
"50","Provisional Votes","94","36","170","90","16","406"
"51","Absent Votes","380","169","754","450","116","1869"
"52","Total","6438","1706","24234","7790","2297","42465"
"53","",NA,NA,NA,NA,NA,NA
"54","Percentage of formal vote polled by candidate","16.03%","4.25%","60.33%","19.39%","",""
