"","
Voting Centres
","
","LIBERAL","AUSTRALIAN GREENS","
.1","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Bona Vista","6","175","18","9","89","6","303"
"2","Buln Buln","5","201","28","11","66","17","328"
"3","Bunyip","42","699","64","22","477","91","1395"
"4","Cora Lynn","3","71","4","4","32","5","119"
"5","Darnum","4","254","10","22","84","14","388"
"6","Drouin","79","1222","128","103","1025","157","2714"
"7","Drouin College","26","367","56","21","331","57","858"
"8","Drouin South","11","288","25","9","118","19","470"
"9","Drouin West","9","253","33","10","134","22","461"
"10","Ellinbank","1","147","17","4","36","9","214"
"11","Erica","2","65","4","0","57","8","136"
"12","Garfield","28","458","53","9","326","53","927"
"13","Hill End","6","54","3","0","19","5","87"
"14","Jindivick","6","125","14","10","47","9","211"
"15","Labertouche","6","138","3","8","56","8","219"
"16","Lillico","4","143","13","12","36","6","214"
"17","Longwarry","33","408","61","29","343","84","958"
"18","Maryknoll","14","153","21","1","135","24","348"
"19","Moe","82","497","91","52","924","121","1767"
"20","Moe Central","66","232","58","36","628","76","1096"
"21","Moe West","51","337","61","33","633","91","1206"
"22","Nar Nar Goon","22","224","21","5","153","32","457"
"23","Nar Nar Goon North","3","100","6","1","55","7","172"
"24","Narracan","11","96","11","8","47","10","183"
"25","Neerim Junction","4","120","13","5","29","5","176"
"26","Neerim South","20","430","50","16","211","26","753"
"27","Nilma","5","219","18","13","88","19","362"
"28","Noojee","8","64","9","6","39","6","132"
"29","Rawson","5","52","10","12","57","5","141"
"30","Rokeby","5","100","8","7","54","6","180"
"31","Tanjil South","12","105","3","7","66","14","207"
"32","Tetoora Road","7","66","16","6","30","5","130"
"33","Thorpdale","11","189","14","4","91","15","324"
"34","Trafalgar","53","791","91","59","673","104","1771"
"35","Tynong","8","231","14","5","137","23","418"
"36","Warragul","33","538","104","77","413","56","1221"
"37","Warragul East","22","444","63","53","264","57","903"
"38","Warragul North","33","694","117","53","472","57","1426"
"39","Willow Grove","13","213","20","10","117","22","395"
"40","Yarragon","13","413","54","102","297","37","916"
"41","Ordinary Votes Total","772","11376","1407","854","8889","1388","24686"
"42","",NA,NA,NA,NA,NA,NA,NA
"43","Postal Votes","78","1328","128","66","817","155","2572"
"44","Early Votes","443","9693","939","635","5480","861","18051"
"45","Marked As Voted Votes","0","1","1","1","0","0","3"
"46","Provisional Votes","15","138","19","4","87","20","283"
"47","Absent Votes","117","671","185","53","673","135","1834"
"48","Total","1425","23207","2679","1613","15946","2559","47429"
"49","",NA,NA,NA,NA,NA,NA,NA
"50","Percentage of formal vote polled by candidate","3.18%","51.72%","5.97%","3.59%","35.54%","",""
