"","
Voting Centres
","LABOUR DLP","TRANSPORT MATTERS","AUSTRALIAN LABOR PARTY","LIBERAL","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Avebury","16","7","193","141","46","27","430"
"2","Berwick Lodge","19","5","197","115","32","22","390"
"3","Endeavour Hills East","85","71","1080","638","125","127","2126"
"4","Fountain Gate","58","74","741","415","87","134","1509"
"5","Glen Eagles","79","65","1082","560","82","171","2039"
"6","Hallam","71","97","980","377","80","130","1735"
"7","Hallam East","33","38","532","192","36","67","898"
"8","Hallam Valley","64","50","901","488","88","115","1706"
"9","Harkaway","2","0","43","76","13","11","145"
"10","Maramba","100","70","1217","862","152","220","2621"
"11","Mitchell","44","53","967","525","66","139","1794"
"12","Narre Warren","11","8","179","109","26","20","353"
"13","Narre Warren North","36","41","569","917","75","66","1704"
"14","Oatlands","68","34","854","716","110","147","1929"
"15","Timbarra","49","38","855","654","118","97","1811"
"16","Ordinary Votes Total","735","651","10390","6785","1136","1493","21190"
"17","",NA,NA,NA,NA,NA,NA,NA
"18","Postal Votes","112","99","1564","1516","214","319","3824"
"19","Early Votes","587","348","5659","4464","633","648","12339"
"20","Marked As Voted Votes","0","0","0","0","0","0","0"
"21","Provisional Votes","23","23","109","88","26","15","284"
"22","Absent Votes","223","113","1068","621","304","195","2524"
"23","Total","1680","1234","18790","13474","2313","2670","40161"
"24","",NA,NA,NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","4.48%","3.29%","50.12%","35.94%","6.17%","",""
