"","
Voting Centres
","TRANSPORT MATTERS","LIBERAL","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Berwick Chase","95","952","115","1016","108","2286"
"2","Berwick South","72","876","150","1133","141","2372"
"3","Centre Road","98","1034","177","1296","170","2775"
"4","Coral Park","62","300","72","592","87","1113"
"5","Hampton Park","63","309","73","567","83","1095"
"6","Hampton Park East","88","353","73","716","148","1378"
"7","Hillsmeade","114","1019","150","1253","163","2699"
"8","Kilberry Valley","68","301","82","701","71","1223"
"9","Narre Warren South","77","658","134","980","140","1989"
"10","Oakgrove","39","224","45","326","33","667"
"11","Strathaird","84","461","75","701","69","1390"
"12","Ordinary Votes Total","860","6487","1146","9281","1213","18987"
"13","",NA,NA,NA,NA,NA,NA
"14","Postal Votes","193","1723","218","1572","387","4093"
"15","Early Votes","822","5583","829","7170","1028","15432"
"16","Marked As Voted Votes","0","0","0","0","0","0"
"17","Provisional Votes","38","116","43","243","36","476"
"18","Absent Votes","404","1913","478","2531","303","5629"
"19","Total","2317","15822","2714","20797","2967","44617"
"20","",NA,NA,NA,NA,NA,NA
"21","Percentage of formal vote polled by candidate","5.56%","37.99%","6.52%","49.93%","",""
