"","
Voting Centres
","
","
.1","AUSTRALIAN LABOR PARTY","LIBERAL","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Balnarring","22","10","402","461","307","45","1247"
"2","Blairgowrie","79","16","318","524","115","58","1110"
"3","Boneo","30","8","193","229","76","27","563"
"4","Dromana","41","41","739","593","198","102","1714"
"5","Dromana Beach","44","12","353","358","100","33","900"
"6","Flinders","15","3","156","272","78","17","541"
"7","McCrae","14","7","193","225","66","18","523"
"8","Portsea","19","0","46","178","28","14","285"
"9","Red Hill","31","8","294","360","166","37","896"
"10","Rosebud","47","24","411","307","113","75","977"
"11","Rosebud East","47","78","580","475","149","92","1421"
"12","Rosebud South","16","7","154","99","43","26","345"
"13","Rosebud West","65","47","646","394","154","83","1389"
"14","Rye","198","41","831","727","232","136","2165"
"15","Shoreham","9","1","113","116","75","10","324"
"16","Somers","15","6","225","221","126","21","614"
"17","Sorrento","71","8","271","519","82","35","986"
"18","St Andrews Beach","85","11","255","205","117","36","709"
"19","Tootgarook","72","53","487","367","144","82","1205"
"20","Waterfall Gully","27","21","426","382","100","55","1011"
"21","Ordinary Votes Total","947","402","7093","7012","2469","1002","18925"
"22","",NA,NA,NA,NA,NA,NA,NA
"23","Postal Votes","145","55","1037","1650","287","190","3364"
"24","Early Votes","558","504","6778","8970","1894","1013","19717"
"25","Marked As Voted Votes","0","0","3","3","3","1","10"
"26","Provisional Votes","14","9","108","78","60","13","282"
"27","Absent Votes","112","26","816","857","367","134","2312"
"28","Total","1776","996","15835","18570","5080","2353","44610"
"29","",NA,NA,NA,NA,NA,NA,NA
"30","Percentage of formal vote polled by candidate","4.20%","2.36%","37.47%","43.95%","12.02%","",""
