"","
Voting Centres
","LIBERAL","ANIMAL JUSTICE PARTY","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Aberfeldie","486","40","123","695","72","1416"
"2","Airport West","371","66","86","860","98","1481"
"3","Avondale Heights","412","64","103","909","141","1629"
"4","Avondale Heights Central","662","58","101","1145","166","2132"
"5","Avondale Heights North","229","17","34","533","48","861"
"6","Buckley Park","494","50","106","679","49","1378"
"7","Calder Rise","285","33","40","346","36","740"
"8","Essendon North","121","17","58","266","29","491"
"9","Essendon West","261","25","55","260","35","636"
"10","Keilor","630","61","97","682","100","1570"
"11","Keilor East","376","42","68","885","95","1466"
"12","Keilor Heights","569","82","106","998","104","1859"
"13","Keilor Park","358","32","65","588","87","1130"
"14","Keilor South","555","51","92","815","85","1598"
"15","Niddrie","242","28","40","397","44","751"
"16","Niddrie Central","258","30","91","470","42","891"
"17","Ordinary Votes Total","6309","696","1265","10528","1231","20029"
"18","",NA,NA,NA,NA,NA,NA
"19","Postal Votes","972","140","165","1431","176","2884"
"20","Early Votes","5140","621","935","7964","712","15372"
"21","Marked As Voted Votes","0","0","0","0","0","0"
"22","Provisional Votes","52","13","21","98","7","191"
"23","Absent Votes","648","145","243","1021","163","2220"
"24","Total","13121","1615","2629","21042","2289","40696"
"25","",NA,NA,NA,NA,NA,NA
"26","Percentage of formal vote polled by candidate","34.16%","4.20%","6.85%","54.79%","",""
