"","
Voting Centres
","AUSTRALIAN GREENS","
","LIBERAL","LIBERAL DEMOCRATS","AUSTRALIAN LABOR PARTY","ANIMAL JUSTICE PARTY","FIONA PATTEN'S REASON PARTY ","
Informal votes
","
Total votes polled
"
"1","Alphington","479","13","162","14","625","30","49","65","1437"
"2","Alphington North","333","13","165","7","591","27","47","82","1265"
"3","Bell","696","56","160","14","764","41","68","72","1871"
"4","Croxton","510","9","88","11","488","20","45","29","1200"
"5","Darebin Parklands","128","5","78","14","202","7","14","22","470"
"6","Fairfield","801","31","262","25","847","44","84","86","2180"
"7","Northcote","834","21","147","23","711","43","64","79","1922"
"8","Northcote North","560","9","121","21","490","24","48","88","1361"
"9","Northcote South","1123","15","180","43","1207","69","102","107","2846"
"10","Preston","59","1","21","4","65","1","7","12","170"
"11","Preston South","397","13","93","18","495","30","39","53","1138"
"12","Thornbury","789","14","160","7","719","59","71","74","1893"
"13","Thornbury East","543","16","224","42","799","39","53","139","1855"
"14","Thornbury South","775","21","204","30","996","46","49","95","2216"
"15","Westgarth","630","16","98","7","476","16","36","45","1324"
"16","Ordinary Votes Total","8657","253","2163","280","9475","496","776","1048","23148"
"17","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","All Votes Votes","0","0","0","0","0","0","0","0","0"
"19","Postal Votes","834","32","441","30","1085","68","82","108","2680"
"20","Early Votes","5858","126","1653","162","6096","368","480","592","15335"
"21","Marked As Voted Votes","0","0","0","0","1","0","0","0","1"
"22","Provisional Votes","111","3","21","3","80","8","4","14","244"
"23","Absent Votes","1356","30","292","25","1011","86","106","149","3055"
"24","Total","16816","444","4570","500","17748","1026","1448","1911","44463"
"25","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Percentage of formal vote polled by candidate","39.52%","1.04%","10.74%","1.18%","41.71%","2.41%","3.40%","",""
