"","
Voting Centres
","
","AUSTRALIAN COUNTRY PARTY","THE NATIONALS","AUSTRALIAN GREENS","
.1","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Boorhaman","1","4","45","0","20","10","5","85"
"2","Bright","14","37","166","67","112","146","39","581"
"3","Bundalong","3","2","68","3","17","21","5","119"
"4","Cheshunt","0","13","56","2","25","13","3","112"
"5","Cobram","56","292","900","52","266","542","174","2282"
"6","Eldorado","4","10","44","11","51","11","4","135"
"7","Everton","6","7","67","3","25","19","5","132"
"8","Gapsted","18","8","217","8","93","54","14","412"
"9","Glenrowan","7","23","193","15","93","87","19","437"
"10","Greta West","3","10","49","5","12","8","1","88"
"11","Harrietville","2","2","51","16","42","25","1","139"
"12","Invergordon","7","25","148","4","37","40","24","285"
"13","Katamatite","5","27","152","8","58","32","14","296"
"14","Londrigan","0","4","44","3","21","17","5","94"
"15","Milawa","0","10","149","4","74","39","6","282"
"16","Moyhu","7","31","157","10","59","46","13","323"
"17","Mudgegonga","14","12","118","10","46","29","9","238"
"18","Myrrhee","1","9","29","0","12","2","0","53"
"19","Myrtleford","58","70","618","39","245","260","85","1375"
"20","Oxley","5","21","122","9","71","32","9","269"
"21","Porepunkah","14","25","114","27","81","54","23","338"
"22","Springhurst","3","13","54","2","20","29","5","126"
"23","St James","2","10","91","4","19","14","10","150"
"24","Tarrawingee","2","8","81","5","35","17","8","156"
"25","Tungamah","10","11","80","6","26","54","19","206"
"26","Wandiligong","1","1","29","12","13","32","2","90"
"27","Wangaratta","25","96","306","70","224","198","44","963"
"28","Wangaratta West","20","76","463","39","252","221","84","1155"
"29","West End","19","62","490","45","258","204","55","1133"
"30","Whitfield","2","5","58","6","35","11","6","123"
"31","Whorouly","9","16","135","4","58","27","17","266"
"32","Yarrawonga","4","33","215","9","78","118","26","483"
"33","Yarrawonga Central","18","70","391","32","146","222","70","949"
"34","Yarroweyah","26","58","427","18","127","121","59","836"
"35","Yarrunga","31","135","278","49","190","230","56","969"
"36","Ordinary Votes Total","397","1236","6605","597","2941","2985","919","15680"
"37","",NA,NA,NA,NA,NA,NA,NA,NA
"38","Postal Votes","45","119","622","57","182","277","65","1367"
"39","Early Votes","494","1683","8886","851","3861","4003","1026","20804"
"40","Marked As Voted Votes","0","1","3","2","0","1","0","7"
"41","Provisional Votes","11","34","128","30","56","85","14","358"
"42","Absent Votes","66","141","402","150","134","352","84","1329"
"43","Total","1013","3214","16646","1687","7174","7703","2108","39545"
"44","",NA,NA,NA,NA,NA,NA,NA,NA
"45","Percentage of formal vote polled by candidate","2.71%","8.59%","44.46%","4.51%","19.16%","20.58%","",""
