"","
Voting Centres
","
","LIBERAL","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","
.1","ANIMAL JUSTICE PARTY","VICTORIAN SOCIALISTS","
.2","
Informal votes
","
Total votes polled
"
"1","Coburg","28","92","460","372","239","30","74","54","107","1456"
"2","Coburg East","10","39","131","99","45","7","9","20","34","394"
"3","Coburg North","17","148","618","247","454","36","52","66","115","1753"
"4","Coburg South","8","44","231","117","98","9","33","48","36","624"
"5","Coburg West","21","72","399","224","179","16","27","54","79","1071"
"6","Gaffney","8","125","441","122","295","22","29","75","65","1182"
"7","Glenroy","28","128","561","93","283","14","39","101","122","1369"
"8","Glenroy East","22","100","323","52","189","6","20","79","84","875"
"9","Glenroy North","12","60","288","41","132","8","24","66","51","682"
"10","Glenroy West","25","207","680","111","372","28","35","220","173","1851"
"11","Gowrie Park","7","26","145","18","92","4","4","22","39","357"
"12","Hadfield","27","200","745","163","465","24","55","153","169","2001"
"13","Lake Park","11","38","146","87","76","8","22","23","33","444"
"14","Merlynston","11","82","304","111","192","6","45","52","55","858"
"15","Murray","7","29","172","101","66","10","25","22","42","474"
"16","Newlands","12","36","220","140","72","5","30","19","37","571"
"17","Oak Park","22","254","659","141","401","28","38","235","134","1912"
"18","Pascoe Vale","5","70","177","46","119","6","12","37","28","500"
"19","Pascoe Vale Central","5","79","248","58","125","11","16","62","57","661"
"20","Pascoe Vale North","28","133","542","168","402","24","23","90","109","1519"
"21","Pascoe Vale South","14","92","295","56","110","3","12","50","43","675"
"22","Strathmore North","4","38","115","23","47","8","10","20","25","290"
"23","Ordinary Votes Total","332","2092","7900","2590","4453","313","634","1568","1637","21519"
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","All Votes Votes","0","0","0","0","0","0","0","0","0","0"
"26","Postal Votes","35","478","1033","356","672","89","74","278","178","3193"
"27","Early Votes","270","1833","5762","1959","4408","337","458","1307","1108","17442"
"28","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0"
"29","Provisional Votes","5","21","86","49","72","14","13","18","20","298"
"30","Absent Votes","65","388","1123","497","303","86","98","71","277","2908"
"31","Total","707","4812","15904","5451","9908","839","1277","3242","3220","45360"
"32","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Percentage of formal vote polled by candidate","1.68%","11.42%","37.74%","12.94%","23.51%","1.99%","3.03%","7.69%","",""
