"","
Voting Centres
","AUSTRALIAN LABOR PARTY","VICTORIAN SOCIALISTS","ANIMAL JUSTICE PARTY","AUSTRALIAN GREENS","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Aireys Inlet","223","5","17","178","142","21","586"
"2","Anglesea","450","8","67","200","341","37","1103"
"3","Apollo Bay","382","14","25","209","353","43","1026"
"4","Bannockburn","1205","38","122","162","781","115","2423"
"5","Beeac","78","4","16","18","166","11","293"
"6","Birregurra","136","13","19","75","211","16","470"
"7","Camperdown","665","40","68","148","1134","116","2171"
"8","Carpendeit","39","3","5","11","134","9","201"
"9","Cobden","294","21","33","74","715","91","1228"
"10","Colac East","454","27","72","110","835","103","1601"
"11","Colac West","228","13","26","85","412","43","807"
"12","Cororooke","110","16","22","33","286","26","493"
"13","Cressy","23","1","1","4","107","4","140"
"14","Deans Marsh","52","3","4","85","77","12","233"
"15","Derrinallum","93","8","9","18","186","15","329"
"16","Ecklin","37","4","3","7","165","8","224"
"17","Elliminyt","422","24","43","77","820","65","1451"
"18","Forrest","65","26","7","44","77","7","226"
"19","Fyansford","177","5","12","38","211","19","462"
"20","Gellibrand River","65","5","8","38","75","8","199"
"21","Inverleigh","307","18","39","94","397","41","896"
"22","Irrewillipe East","30","3","8","12","145","10","208"
"23","Lavers Hill","44","1","5","20","53","5","128"
"24","Lismore","73","8","11","15","226","23","356"
"25","Lorne","211","3","16","77","255","31","593"
"26","Mortlake","270","20","27","64","421","44","846"
"27","Noorat","89","7","16","27","297","29","465"
"28","Nullawarre","29","4","3","13","174","10","233"
"29","Peterborough","33","4","4","21","97","7","166"
"30","Port Campbell","68","6","6","34","114","13","241"
"31","Rokewood","48","2","8","2","61","10","131"
"32","Scotts Creek","38","2","7","13","154","4","218"
"33","Simpson","63","11","12","14","289","23","412"
"34","Skipton","109","7","15","18","142","25","316"
"35","Teesdale","413","17","36","90","331","30","917"
"36","Terang","337","31","33","62","606","74","1143"
"37","Timboon","197","10","25","71","521","38","862"
"38","Warrion","19","5","2","2","90","5","123"
"39","Winchelsea","460","23","49","107","470","86","1195"
"40","Winchelsea South","143","3","13","38","133","18","348"
"41","Wiridjil","25","3","6","12","116","5","167"
"42","Ordinary Votes Total","8204","466","920","2420","12320","1300","25630"
"43","",NA,NA,NA,NA,NA,NA,NA
"44","Postal Votes","680","35","113","207","1240","117","2392"
"45","Early Votes","3559","220","452","985","6090","554","11860"
"46","Marked As Voted Votes","0","0","0","0","0","0","0"
"47","Provisional Votes","87","7","23","32","84","11","244"
"48","Absent Votes","808","60","128","305","895","140","2336"
"49","Total","13338","788","1636","3949","20629","2122","42462"
"50","",NA,NA,NA,NA,NA,NA,NA
"51","Percentage of formal vote polled by candidate","33.06%","1.95%","4.06%","9.79%","51.14%","",""
