"","
Voting Centres
","LABOUR DLP","LIBERAL","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","SUSTAINABLE AUSTRALIA","FIONA PATTEN'S REASON PARTY ","ANIMAL JUSTICE PARTY","AUSSIE BATTLER PARTY","
","
Informal votes
","
Total votes polled
"
"1","Alma","24","188","315","265","11","30","23","4","4","46","910"
"2","Balaclava","21","129","234","227","6","23","8","2","2","45","697"
"3","Fawkner Park","29","641","541","534","18","61","37","2","6","70","1939"
"4","Hawksburn","22","750","554","620","26","42","37","4","4","116","2175"
"5","Hawksburn Central","49","286","289","253","7","14","18","5","2","93","1016"
"6","Orrong","21","329","280","278","8","14","21","0","2","37","990"
"7","Prahran","36","402","625","585","12","49","35","3","5","83","1835"
"8","Prahran East","51","447","596","658","18","40","43","6","7","123","1989"
"9","Redan Central","16","106","227","196","5","8","10","3","3","45","619"
"10","South Yarra","20","486","307","327","12","20","20","2","2","44","1240"
"11","St Kilda East","7","149","358","327","7","24","26","7","1","26","932"
"12","Toorak Central","10","349","199","195","10","11","8","2","2","43","829"
"13","Toorak West","3","292","137","96","6","8","10","0","0","29","581"
"14","Windsor","19","203","370","399","8","23","10","7","5","63","1107"
"15","Ordinary Votes Total","328","4757","5032","4960","154","367","306","47","45","863","16859"
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","All Votes Votes","0","0","0","0","0","0","0","0","0","0","0"
"18","Postal Votes","85","2205","1153","1012","62","93","112","25","12","285","5044"
"19","Early Votes","342","5742","4296","4140","185","269","341","55","53","743","16166"
"20","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0","0"
"21","Provisional Votes","18","160","148","141","7","8","18","3","3","41","547"
"22","Absent Votes","160","1092","1073","1094","60","93","123","26","17","297","4035"
"23","Total","933","13956","11702","11347","468","830","900","156","130","2229","42651"
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","2.31%","34.53%","28.95%","28.07%","1.16%","2.05%","2.23%","0.39%","0.32%","",""
