"","
Voting Centres
","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Antonio Park","480","168","481","44","1173"
"2","Eastwood","760","263","648","60","1731"
"3","Heatherdale","457","113","324","45","939"
"4","Heathmont","71","17","70","11","169"
"5","Mitcham","452","160","429","62","1103"
"6","Mitcham South","488","158","501","35","1182"
"7","Norwood","439","96","435","44","1014"
"8","Nunawading","345","73","250","35","703"
"9","Nunawading East","915","279","898","124","2216"
"10","Nunawading South","563","180","482","56","1281"
"11","Ringwood","332","126","300","53","811"
"12","Ringwood East","352","114","344","45","855"
"13","Ringwood Heights","432","189","488","62","1171"
"14","Ringwood North","439","104","550","57","1150"
"15","Ringwood South","257","110","231","33","631"
"16","Southwood","377","115","327","42","861"
"17","Tinternvale","305","105","308","25","743"
"18","Wakefield","730","187","611","66","1594"
"19","Ordinary Votes Total","8194","2557","7677","899","19327"
"20","",NA,NA,NA,NA,NA
"21","Postal Votes","1266","377","1807","322","3772"
"22","Early Votes","4437","1469","5307","570","11783"
"23","Marked As Voted Votes","0","0","0","0","0"
"24","Provisional Votes","91","37","72","9","209"
"25","Absent Votes","1133","486","1020","158","2797"
"26","Total","15121","4926","15883","1958","37888"
"27","",NA,NA,NA,NA,NA
"28","Percentage of formal vote polled by candidate","42.08%","13.71%","44.21%","",""
