"","
Voting Centres
","DERRYN HINCH'S JUSTICE PARTY","
","VICTORIAN SOCIALISTS","ANIMAL JUSTICE PARTY","LABOUR DLP","LIBERAL","AUSTRALIAN LABOR PARTY","SHOOTERS, FISHERS & FARMERS VIC","AUSTRALIAN GREENS","
.1","
Informal votes
","
Total votes polled
"
"1","Alfredton West","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Amphitheatre","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Ararat","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ararat West","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Ascot","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Avoca","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Bealiba","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Beaufort","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Bowenvale","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Bridgewater","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Buangor","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Carisbrook","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Charlton","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Clunes","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Concongella","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Creswick","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Donald","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Dunolly","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Elmhurst","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Glenorchy","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Great Western","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Inglewood","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Korong Vale","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Landsborough","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Learmonth","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Lexton","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Litchfield","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Marnoo","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Maryborough","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Maryborough East","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Miners Rest","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Moonambel","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Newbridge","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Newlyn","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Smeaton","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Snake Valley","0","0","0","0","0","0","0","0","0","0","0","0"
"37","St Arnaud","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Stawell","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Stawell West","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Stuart Mill","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Talbot","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Tarnagulla","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Waubra","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Wedderburn","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Ordinary Votes Total","0","0","0","0","0","0","0","0","0","0","0","0"
"46","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","All Votes Votes","1929","377","219","835","1315","15594","15280","2622","1667","217","3606","43661"
"48","Postal Votes","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Early Votes","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Provisional Votes","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Absent Votes","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Total","1929","377","219","835","1315","15594","15280","2622","1667","217","3606","43661"
"54","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Percentage of formal vote polled by candidate","4.82%","0.94%","0.55%","2.08%","3.28%","38.93%","38.15%","6.55%","4.16%","0.54%","",""
