"","
Voting Centres
","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","LIBERAL","
","
Informal votes
","
Total votes polled
"
"1","Carrington","125","425","572","64","90","1276"
"2","Ferntree Gully Central","93","312","363","51","38","857"
"3","Heany Park","282","1179","1382","170","212","3225"
"4","Karoo","221","832","1097","125","133","2408"
"5","Lysterfield","203","701","1108","117","126","2255"
"6","Park Ridge","215","772","981","150","92","2210"
"7","Rowville","212","729","911","124","135","2111"
"8","Rowville East","160","610","723","92","99","1684"
"9","Scoresby","169","597","686","81","89","1622"
"10","Ordinary Votes Total","1680","6157","7823","974","1014","17648"
"11","",NA,NA,NA,NA,NA,NA
"12","Postal Votes","206","667","1440","136","256","2705"
"13","Early Votes","1195","4149","7292","654","736","14026"
"14","Marked As Voted Votes","0","0","0","0","0","0"
"15","Provisional Votes","30","56","62","2","8","158"
"16","Absent Votes","372","911","934","92","193","2502"
"17","Total","3483","11940","17551","1858","2207","37039"
"18","",NA,NA,NA,NA,NA,NA
"19","Percentage of formal vote polled by candidate","10.00%","34.28%","50.39%","5.33%","",""
