"","
Voting Centres
","LIBERAL","LABOUR DLP","ANIMAL JUSTICE PARTY","
","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","SUSTAINABLE AUSTRALIA","
Informal votes
","
Total votes polled
"
"1","Beaumaris","573","21","13","167","316","41","7","41","1179"
"2","Beaumaris Central","826","12","51","283","454","71","17","70","1784"
"3","Beaumaris North","362","16","18","153","283","47","15","35","929"
"4","Black Rock","394","15","33","164","342","41","17","57","1063"
"5","Black Rock South","738","26","45","133","400","81","26","74","1523"
"6","Cheltenham","587","84","72","109","660","128","40","69","1749"
"7","Cheltenham West","212","27","16","40","269","35","11","23","633"
"8","Hampton","132","16","15","5","111","33","7","19","338"
"9","Hampton Central","319","17","19","32","291","43","18","32","771"
"10","Highett","513","47","54","105","509","91","12","71","1402"
"11","Highett South","423","38","36","99","615","107","26","66","1410"
"12","Holloway","262","7","24","67","242","53","10","34","699"
"13","Mentone","307","55","30","55","389","76","10","70","992"
"14","Mentone West","697","47","70","282","751","149","30","109","2135"
"15","Moorabbin South East","201","24","19","7","220","42","16","35","564"
"16","Sandringham","415","22","35","73","346","61","15","51","1018"
"17","Sandringham North","540","30","40","170","470","97","22","63","1432"
"18","Ordinary Votes Total","7501","504","590","1944","6668","1196","299","919","19621"
"19","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Postal Votes","2229","78","122","182","1260","268","70","225","4434"
"21","Early Votes","6111","434","479","1104","4106","1340","177","651","14402"
"22","Marked As Voted Votes","2","0","0","0","4","0","0","1","7"
"23","Provisional Votes","91","6","5","13","77","26","8","12","238"
"24","Absent Votes","836","127","114","74","803","371","55","182","2562"
"25","Total","16770","1149","1310","3317","12918","3201","609","1990","41264"
"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Percentage of formal vote polled by candidate","42.70%","2.93%","3.34%","8.45%","32.89%","8.15%","1.55%","",""
