"","
Voting Centres
","
","THE NATIONALS","SHOOTERS, FISHERS & FARMERS VIC","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Ardmona","161","90","31","42","7","93","19","443"
"2","Barmah","27","15","50","22","5","21","11","151"
"3","Bunbartha","55","37","18","11","4","46","4","175"
"4","Congupna","140","71","32","17","6","91","20","377"
"5","Dookie","69","33","16","10","5","55","11","199"
"6","Gowrie Street","523","128","85","185","46","392","92","1451"
"7","Guthrie Street","516","115","80","132","27","379","66","1315"
"8","Katandra West","121","76","17","15","10","64","15","318"
"9","Katunga","113","80","47","24","2","138","19","423"
"10","Kialla","182","62","32","28","7","107","21","439"
"11","Kialla West","255","71","38","36","5","150","21","576"
"12","Knight Street","474","105","71","90","26","258","44","1068"
"13","Lemnos","114","54","35","11","0","116","18","348"
"14","Mooroopna","697","272","189","369","77","484","151","2239"
"15","Naring","20","13","2","6","0","12","3","56"
"16","Nathalia","275","119","161","90","20","208","68","941"
"17","Numurkah","577","409","205","233","32","469","134","2059"
"18","Orrvale","186","54","31","32","4","155","29","491"
"19","Picola","27","56","30","12","3","16","9","153"
"20","Shepparton East","143","77","46","18","7","217","29","537"
"21","St Georges Road","440","134","92","215","34","316","87","1318"
"22","Storey","724","215","105","182","35","586","87","1934"
"23","Strathmerton","115","129","59","55","10","122","45","535"
"24","Tallygaroopna","103","24","22","14","5","79","23","270"
"25","Tatura","621","264","92","206","52","409","109","1753"
"26","Toolamba","128","37","24","17","3","61","11","281"
"27","Waaia","80","56","34","14","5","48","18","255"
"28","Wanganui","391","101","53","163","33","243","41","1025"
"29","Wilmot Road","576","168","154","309","53","445","176","1881"
"30","Wunghnu","86","68","36","21","2","74","17","304"
"31","Yalca North","26","32","9","9","1","15","5","97"
"32","Ordinary Votes Total","7965","3165","1896","2588","526","5869","1403","23412"
"33","",NA,NA,NA,NA,NA,NA,NA,NA
"34","All Votes Votes","0","0","0","0","0","0","0","0"
"35","Postal Votes","931","359","141","231","36","641","88","2427"
"36","Early Votes","6503","1648","1095","1666","311","4084","790","16097"
"37","Marked As Voted Votes","0","0","0","0","0","0","0","0"
"38","Provisional Votes","86","40","44","49","28","104","20","371"
"39","Absent Votes","371","170","138","238","98","269","95","1379"
"40","Total","15856","5382","3314","4772","999","10967","2396","43686"
"41","",NA,NA,NA,NA,NA,NA,NA,NA
"42","Percentage of formal vote polled by candidate","38.40%","13.03%","8.03%","11.56%","2.42%","26.56%","",""
