"","
Voting Centres
","
","AUSTRALIAN COUNTRY PARTY","AUSTRALIAN GREENS","VICTORIAN SOCIALISTS","AUSTRALIAN LABOR PARTY","LIBERAL","
.1","
.2","LABOUR DLP","
Informal votes
","
Total votes polled
"
"1","Allansford","71","95","40","6","125","209","6","67","5","43","667"
"2","Bolwarra","3","16","15","1","64","81","4","35","1","19","239"
"3","Caramut","3","4","1","2","23","42","0","6","1","4","86"
"4","Condah","0","10","5","0","28","85","0","9","5","10","152"
"5","Gorae West","1","5","4","2","19","24","1","10","0","1","67"
"6","Grassmere","8","18","1","1","6","38","1","6","1","5","85"
"7","Hawkesdale","5","50","8","0","20","132","1","26","2","7","251"
"8","Heywood","11","49","23","4","178","239","4","133","17","83","741"
"9","Koroit","63","156","61","2","226","333","8","234","10","85","1178"
"10","Macarthur","6","27","5","0","39","98","0","92","2","15","284"
"11","Mailors Flat","15","120","7","1","40","78","0","37","2","25","325"
"12","Naringal","3","12","2","0","16","72","1","16","4","5","131"
"13","Narrawong","2","5","12","3","60","60","2","30","4","13","191"
"14","Nelson","0","5","8","0","31","80","2","5","1","7","139"
"15","Orford","3","17","1","0","4","40","2","20","1","5","93"
"16","Panmure","9","24","4","0","30","57","3","20","5","17","169"
"17","Port Fairy","54","67","139","3","294","341","8","516","13","70","1505"
"18","Portland","27","37","56","1","300","218","5","128","31","61","864"
"19","Portland South","19","42","24","2","247","156","4","115","16","57","682"
"20","Portland South West TAFE","15","18","28","3","154","134","2","89","11","37","491"
"21","Purnim","8","49","6","0","16","58","0","13","2","12","164"
"22","Tyrendarra","1","5","0","2","17","57","0","23","2","6","113"
"23","Wangoom","21","40","15","1","31","75","3","36","3","16","241"
"24","Warrnambool","360","188","197","15","573","685","25","336","60","260","2699"
"25","Warrnambool - Tower Square","112","57","46","4","168","251","9","129","24","41","841"
"26","Warrnambool Central","23","9","21","6","65","76","0","35","2","14","251"
"27","Warrnambool East","106","64","79","9","209","199","6","79","5","43","799"
"28","Warrnambool Education Centre","60","29","46","3","130","133","6","88","9","27","531"
"29","Warrnambool North","211","139","116","15","431","561","26","244","26","128","1897"
"30","Warrnambool South West","49","38","41","6","127","122","4","52","10","26","475"
"31","Warrnambool West","79","73","34","1","161","159","8","82","8","48","653"
"32","Woodford","28","43","15","1","69","125","0","48","3","18","350"
"33","Woolsthorpe","4","21","5","2","42","122","2","37","1","12","248"
"34","Yambuk","4","19","8","1","31","78","1","29","4","12","187"
"35","Ordinary Votes Total","1384","1551","1073","97","3974","5218","144","2825","291","1232","17789"
"36","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Postal Votes","78","87","80","15","278","497","17","219","15","56","1342"
"38","Early Votes","2109","1597","1216","113","5486","7201","208","3590","349","1516","23385"
"39","Marked As Voted Votes","0","0","0","0","2","1","0","0","1","0","4"
"40","Provisional Votes","47","27","33","7","98","61","2","28","5","24","332"
"41","Absent Votes","117","90","138","6","236","319","13","101","21","115","1156"
"42","Total","3735","3352","2540","238","10074","13297","384","6763","682","2943","44008"
"43","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Percentage of formal vote polled by candidate","9.10%","8.16%","6.19%","0.58%","24.53%","32.38%","0.94%","16.47%","1.66%","",""
