"","
Voting Centres
","LABOUR DLP","VICTORIAN SOCIALISTS","
","AUSTRALIAN GREENS","SHOOTERS, FISHERS & FARMERS VIC","LIBERAL","AUSTRALIAN LABOR PARTY","ANIMAL JUSTICE PARTY","
Informal votes
","
Total votes polled
"
"1","Armstrong Creek","29","5","53","74","30","344","477","27","35","1074"
"2","Bellbrae","2","3","149","77","3","126","187","4","24","575"
"3","Belmont West","29","1","35","94","18","453","471","19","52","1172"
"4","Ceres","16","2","6","47","19","369","187","10","30","686"
"5","Grovedale","60","19","116","170","63","745","950","87","139","2349"
"6","Grovedale Central","34","7","27","100","28","305","515","23","53","1092"
"7","Grovedale East","52","8","80","88","44","510","701","61","96","1640"
"8","Highton","38","8","49","139","20","568","531","31","65","1449"
"9","Highton Central","66","10","39","139","15","697","604","45","46","1661"
"10","Highton North","41","8","73","167","18","605","675","38","50","1675"
"11","Mandama","50","9","54","122","53","577","727","71","99","1762"
"12","Moriac","12","3","22","44","24","266","174","13","33","591"
"13","Mount Duneed","34","7","66","85","31","377","454","33","34","1121"
"14","Torquay","15","12","208","109","11","275","369","35","43","1077"
"15","Torquay North","35","24","348","185","32","519","659","65","74","1941"
"16","Waurn Ponds","19","7","25","72","13","312","247","8","25","728"
"17","Ordinary Votes Total","532","133","1350","1712","422","7048","7928","570","898","20593"
"18","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Postal Votes","80","14","170","282","98","1725","1124","129","171","3793"
"20","Early Votes","641","169","2038","1767","375","8558","7848","632","997","23025"
"21","Marked As Voted Votes","0","1","1","1","0","2","4","0","0","9"
"22","Provisional Votes","13","0","28","37","13","84","89","18","18","300"
"23","Absent Votes","195","38","112","365","90","763","1010","125","191","2889"
"24","Total","1461","355","3699","4164","998","18180","18003","1474","2275","50609"
"25","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Percentage of formal vote polled by candidate","3.02%","0.73%","7.65%","8.62%","2.06%","37.61%","37.25%","3.05%","",""
