"","
Voting Centres
","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","
","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Albion","155","434","35","131","71","826"
"2","Albion North","71","401","13","163","80","728"
"3","Ardeer","58","218","11","77","29","393"
"4","Kealba","137","669","49","352","103","1310"
"5","Keilor Downs","118","714","46","310","112","1300"
"6","Kings Park","10","70","3","10","11","104"
"7","Monmia","210","1203","105","488","179","2185"
"8","St Albans","55","260","6","100","29","450"
"9","St Albans East","104","578","23","183","97","985"
"10","St Albans North","101","549","29","170","105","954"
"11","St Albans South","90","393","18","124","66","691"
"12","St Albans South East","126","469","10","184","75","864"
"13","St Albans West","110","645","20","170","126","1071"
"14","Sunshine","40","65","10","26","19","160"
"15","Sunshine North","124","466","22","227","68","907"
"16","Sunvale","105","299","26","96","45","571"
"17","Ordinary Votes Total","1614","7433","426","2811","1215","13499"
"18","",NA,NA,NA,NA,NA,NA
"19","Postal Votes","226","1131","123","491","144","2115"
"20","Early Votes","2392","12516","745","5244","1345","22242"
"21","Marked As Voted Votes","1","1","0","0","0","2"
"22","Provisional Votes","60","196","4","61","19","340"
"23","Absent Votes","307","1078","95","509","204","2193"
"24","Total","4600","22355","1393","9116","2927","40391"
"25","",NA,NA,NA,NA,NA,NA
"26","Percentage of formal vote polled by candidate","12.28%","59.67%","3.72%","24.33%","",""
