"","
Voting Centres
","LIBERAL","AUSTRALIAN GREENS","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Bulla","151","12","146","17","326"
"2","Diggers Rest","324","79","649","79","1131"
"3","Gladstone Park","701","155","1256","197","2309"
"4","Gladstone Views","574","123","995","190","1882"
"5","Goonawarra","427","94","1024","86","1631"
"6","Gowanbrae","334","80","543","46","1003"
"7","Jacksons Hill","148","29","325","16","518"
"8","Melbourne Airport","10","8","34","6","58"
"9","Sunbury","423","87","766","61","1337"
"10","Sunbury Central","135","52","214","17","418"
"11","Sunbury Heights","329","96","881","66","1372"
"12","Sunbury North","331","82","650","58","1121"
"13","Sunbury North West","386","104","775","79","1344"
"14","Sunbury West","846","225","1572","138","2781"
"15","Tullamarine","516","137","997","149","1799"
"16","Ordinary Votes Total","5635","1363","10827","1205","19030"
"17","",NA,NA,NA,NA,NA
"18","Postal Votes","996","207","1282","186","2671"
"19","Early Votes","5871","1138","9399","920","17328"
"20","Marked As Voted Votes","0","0","0","0","0"
"21","Provisional Votes","68","26","143","12","249"
"22","Absent Votes","608","294","1098","153","2153"
"23","Total","13178","3028","22749","2476","41431"
"24","",NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","33.83%","7.77%","58.40%","",""
