"","
Voting Centres
","LIBERAL","AUSTRALIAN LABOR PARTY","
","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Delahey","344","1281","57","133","178","1993"
"2","Hillside","618","1325","99","82","161","2285"
"3","Kings Park","16","66","3","9","12","106"
"4","Parkwood Green","679","1304","85","114","157","2339"
"5","Plumpton","189","444","38","33","49","753"
"6","Springside","400","1033","86","86","98","1703"
"7","Sydenham","520","1480","97","173","197","2467"
"8","Sydenham East","219","479","47","73","53","871"
"9","Sydenham West","126","319","27","24","25","521"
"10","Taylors Hill","412","1115","110","81","114","1832"
"11","Taylors Lakes","514","804","48","71","142","1579"
"12","Taylors Lakes Central","480","921","46","112","130","1689"
"13","Taylors Lakes North","650","1012","89","119","145","2015"
"14","Ordinary Votes Total","5167","11583","832","1110","1461","20153"
"15","",NA,NA,NA,NA,NA,NA
"16","Postal Votes","753","1244","45","149","158","2349"
"17","Early Votes","5601","11712","801","1201","1443","20758"
"18","Marked As Voted Votes","0","0","0","0","0","0"
"19","Provisional Votes","116","220","14","51","32","433"
"20","Absent Votes","666","1505","88","243","235","2737"
"21","Total","12303","26264","1780","2754","3329","46430"
"22","",NA,NA,NA,NA,NA,NA
"23","Percentage of formal vote polled by candidate","28.54%","60.94%","4.13%","6.39%","",""
