"","
Voting Centres
","LIBERAL","
","AUSTRALIAN GREENS","
.1","
.2","
.3","AUSTRALIAN LABOR PARTY","
Informal votes
","
Total votes polled
"
"1","Bellbridge","73","2","17","4","8","2","190","26","322"
"2","Bellbridge East","504","37","191","34","32","17","1394","222","2431"
"3","Cambridge","423","14","159","53","22","22","1038","134","1865"
"4","Derrimut","464","22","130","31","16","10","838","142","1653"
"5","Mossfiel","384","12","114","21","19","4","840","119","1513"
"6","Tarneit","393","43","133","100","33","64","1036","161","1963"
"7","Tarneit East","369","17","101","52","24","53","737","93","1446"
"8","Tarneit North","283","15","87","122","12","93","840","96","1548"
"9","Tarneit Rise","242","39","84","118","6","94","723","79","1385"
"10","Tarneit West","195","19","48","92","13","38","541","52","998"
"11","The Grange","414","29","146","41","39","33","1282","156","2140"
"12","Truganina","326","31","125","83","36","74","919","95","1689"
"13","Truganina South","360","91","148","77","130","66","1074","142","2088"
"14","Westgrove","159","9","57","16","10","4","337","46","638"
"15","Ordinary Votes Total","4589","380","1540","844","400","574","11789","1563","21679"
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Postal Votes","817","29","225","88","88","31","1292","119","2689"
"18","Early Votes","5283","315","1293","726","424","459","10265","1427","20192"
"19","Marked As Voted Votes","1","0","0","1","0","0","1","0","3"
"20","Provisional Votes","84","14","48","19","10","24","225","28","452"
"21","Absent Votes","686","64","292","62","84","57","1512","295","3052"
"22","Total","11460","802","3398","1740","1006","1145","25084","3432","48067"
"23","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Percentage of formal vote polled by candidate","25.67%","1.80%","7.61%","3.90%","2.25%","2.57%","56.20%","",""
