"","
Voting Centres
","AUSTRALIAN LABOR PARTY","
","
.1","
.2","
.3","AUSTRALIAN GREENS","LABOUR DLP","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Galvin Park","376","6","6","52","114","43","8","112","78","795"
"2","Glenorden","687","18","10","86","125","87","19","151","122","1305"
"3","Iramoo","1323","21","71","183","465","200","109","370","230","2972"
"4","Little River","144","2","2","14","79","17","6","84","24","372"
"5","Manor Lakes","1162","15","104","119","257","117","53","360","148","2335"
"6","Manorvale","788","13","11","127","312","107","30","214","108","1710"
"7","Thomas Chirnside","558","5","23","51","193","72","15","169","88","1174"
"8","Werribee","470","3","14","48","337","86","16","192","103","1269"
"9","Werribee Central","607","12","16","80","532","117","29","271","122","1786"
"10","Werribee South","139","4","3","28","224","19","4","140","34","595"
"11","Westgrove","787","11","15","84","227","99","30","184","95","1532"
"12","Woodville","605","7","16","89","110","105","24","195","84","1235"
"13","Ordinary Votes Total","7646","117","291","961","2975","1069","343","2442","1236","17080"
"14","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Postal Votes","813","16","24","95","340","126","46","388","98","1946"
"16","Early Votes","8023","183","263","943","4195","1096","713","3484","1264","20164"
"17","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0"
"18","Provisional Votes","146","5","7","20","33","30","12","31","13","297"
"19","Absent Votes","911","25","43","67","142","201","61","296","185","1931"
"20","Total","17539","346","628","2086","7685","2522","1175","6641","2796","41418"
"21","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Percentage of formal vote polled by candidate","45.41%","0.90%","1.63%","5.40%","19.90%","6.53%","3.04%","17.19%","",""
