"","
Voting Centres
","AUSTRALIAN LABOR PARTY","AUSTRALIAN GREENS","ANIMAL JUSTICE PARTY","
","
.1","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Altona North","1293","195","37","37","215","347","175","2299"
"2","Brooklyn","299","67","11","90","47","108","47","669"
"3","Footscray Central","500","234","17","9","29","101","41","931"
"4","Kingsville","797","347","42","27","74","223","72","1582"
"5","Kingsville South","738","165","45","21","74","208","88","1339"
"6","Newport","866","289","61","44","185","277","62","1784"
"7","Newport East","742","219","43","38","203","220","53","1518"
"8","Newport West","988","186","37","49","194","215","110","1779"
"9","Seddon","906","367","65","23","60","227","62","1710"
"10","Spotswood","426","154","23","23","135","168","36","965"
"11","Spotswood West","666","174","34","13","155","230","62","1334"
"12","Williamstown","911","244","39","55","324","424","69","2066"
"13","Williamstown South","1108","317","36","81","373","454","96","2465"
"14","Williamstown West","980","230","58","63","446","548","109","2434"
"15","Yarraville","456","213","23","11","51","121","33","908"
"16","Yarraville Central","769","367","45","16","81","223","84","1585"
"17","Ordinary Votes Total","12445","3768","616","600","2646","4094","1199","25368"
"18","",NA,NA,NA,NA,NA,NA,NA,NA
"19","Postal Votes","1468","431","104","71","377","735","141","3327"
"20","Early Votes","6517","2111","416","350","1222","2491","666","13773"
"21","Marked As Voted Votes","0","0","0","0","0","0","0","0"
"22","Provisional Votes","123","36","9","7","23","37","7","242"
"23","Absent Votes","1286","614","106","53","139","475","160","2833"
"24","Total","21839","6960","1251","1081","4407","7832","2173","45543"
"25","",NA,NA,NA,NA,NA,NA,NA,NA
"26","Percentage of formal vote polled by candidate","50.36%","16.05%","2.88%","2.49%","10.16%","18.06%","",""
