"","
Voting Centres
","AUSTRALIAN LIBERTY ALLIANCE","LABOUR DLP","
","AUSTRALIAN LABOR PARTY","SHOOTERS, FISHERS & FARMERS VIC","AUSTRALIAN GREENS","LIBERAL","
.1","
Informal votes
","
Total votes polled
"
"1","Beveridge","37","32","6","455","52","23","247","3","76","931"
"2","Diamond Creek","29","71","14","1331","59","219","608","7","163","2501"
"3","Diamond Creek East","45","39","3","827","45","131","392","5","106","1593"
"4","Doreen","41","62","11","1048","47","118","429","5","118","1879"
"5","Hurstbridge","24","31","4","872","58","253","389","5","110","1746"
"6","Laurimar","55","67","7","1963","84","131","790","14","262","3373"
"7","Mernda","71","125","17","1680","82","134","410","17","232","2768"
"8","Mernda Central","39","80","12","1209","66","135","327","38","152","2058"
"9","Morang South","7","13","1","67","4","10","29","0","12","143"
"10","Plenty","18","23","2","458","33","65","457","6","94","1156"
"11","Wallan","60","78","7","1178","173","140","527","13","254","2430"
"12","Wallan South","70","94","10","1002","141","109","457","6","199","2088"
"13","Wattle Glen","14","17","2","373","19","87","199","5","41","757"
"14","Whittlesea","37","19","3","550","112","48","347","6","91","1213"
"15","Yarrambat","29","44","5","837","53","69","564","7","110","1718"
"16","Ordinary Votes Total","576","795","104","13850","1028","1672","6172","137","2020","26354"
"17","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Postal Votes","103","108","18","1960","187","256","1266","18","230","4146"
"19","Early Votes","410","671","89","9015","784","1046","4961","74","1326","18376"
"20","Marked As Voted Votes","0","0","0","0","0","0","0","0","0","0"
"21","Provisional Votes","15","16","2","186","20","31","73","2","23","368"
"22","Absent Votes","128","255","21","1706","225","349","852","23","388","3947"
"23","Total","1232","1845","234","26717","2244","3354","13324","254","3987","53191"
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Percentage of formal vote polled by candidate","2.50%","3.75%","0.48%","54.30%","4.56%","6.82%","27.08%","0.52%","",""
