"","
Voting Centres
","
","AUSTRALIAN GREENS","VICTORIAN SOCIALISTS","AUSTRALIAN LABOR PARTY","LIBERAL","
Informal votes
","
Total votes polled
"
"1","Craigieburn","70","120","75","1307","645","221","2438"
"2","Craigieburn Central","67","129","81","1461","461","178","2377"
"3","Craigieburn North West","91","75","62","1107","297","115","1747"
"4","Craigieburn South","108","124","87","1272","459","162","2212"
"5","Craigieburn West","65","63","53","765","285","97","1328"
"6","Greenvale","88","105","51","936","592","149","1921"
"7","Greenvale Park","23","66","25","721","352","73","1260"
"8","Greenvale South","86","131","49","1310","874","148","2598"
"9","Mickleham","65","68","47","940","425","119","1664"
"10","Mount Ridley","93","119","77","1285","428","103","2105"
"11","Roxburgh Homestead","53","51","41","390","109","75","719"
"12","Roxburgh Rise","324","110","83","943","256","147","1863"
"13","Somerton","148","84","45","883","303","118","1581"
"14","Westmeadows","91","112","84","1107","539","122","2055"
"15","Ordinary Votes Total","1372","1357","860","14427","6025","1827","25868"
"16","",NA,NA,NA,NA,NA,NA,NA
"17","Postal Votes","77","180","64","1653","798","218","2990"
"18","Early Votes","454","1136","570","10536","5063","1184","18943"
"19","Marked As Voted Votes","0","0","0","0","0","0","0"
"20","Provisional Votes","29","34","21","272","89","21","466"
"21","Absent Votes","170","363","97","1631","717","299","3277"
"22","Total","2102","3070","1612","28519","12692","3549","51544"
"23","",NA,NA,NA,NA,NA,NA,NA
"24","Percentage of formal vote polled by candidate","4.38%","6.40%","3.36%","59.42%","26.44%","",""
