Electorate,0 to 17 years old,18 to 34 years old,35 to 49 years old,50 to 64 years old,65 to 79 years old,80 years old and over,Couple family without children,Couple family with children,One parent family,Other family,Median weekly household income ($),Median weekly rent ($),Median monthly mortgage repayments ($),Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Aboriginal and/or Torres Strait Islander peoples,Born overseas,Recent migrants (arrived 2006-2016),Language other than English spoken at home,Education_Employment_Fully engaged,Partially engaged,At least partially engaged,Not engaged,Engagement status undetermined/Not Stated,Profession_Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Year 12 or equivalent completion (people aged 20 to 24 years),Certificate III or higher qualification (people aged 15 years and over)
Adelaide,0.18,0.31,0.20,0.17,0.10,0.05,0.39,0.43,0.16,0.03,"1,298.00",300.00,"1,733.00",0.27,0.29,0.41,0.01,0.03,0.01,0.35,0.18,0.35,0.56,0.17,0.03,0.18,0.06,0.12,0.29,0.10,0.11,0.13,0.09,0.04,0.09,0.01,0.01,0.82,0.49
Aston,0.22,0.23,0.21,0.19,0.12,0.04,0.33,0.51,0.15,0.01,"1,561.00",351.00,"1,733.00",0.34,0.43,0.20,0.01,0.02,0.01,0.30,0.09,0.25,0.57,0.19,0.03,0.17,0.04,0.12,0.21,0.15,0.10,0.16,0.11,0.06,0.08,0.01,0.01,0.80,0.49
Ballarat,0.23,0.22,0.19,0.19,0.13,0.04,0.39,0.42,0.18,0.01,"1,182.00",250.00,"1,400.00",0.34,0.36,0.27,0.01,0.03,0.01,0.11,0.03,0.05,0.49,0.20,0.04,0.21,0.06,0.12,0.20,0.15,0.12,0.13,0.10,0.06,0.10,0.01,0.01,0.69,0.45
Banks,0.21,0.25,0.20,0.18,0.11,0.05,0.32,0.50,0.16,0.02,"1,598.00",420.00,"2,167.00",0.34,0.32,0.31,0.01,0.03,0.01,0.39,0.13,0.45,0.57,0.17,0.03,0.19,0.04,0.12,0.24,0.13,0.10,0.17,0.10,0.06,0.08,0.01,0.01,0.83,0.48
Barker,0.22,0.19,0.18,0.21,0.15,0.05,0.46,0.38,0.15,0.01,"1,076.00",190.00,"1,157.00",0.36,0.34,0.26,0.02,0.03,0.03,0.11,0.03,0.06,0.47,0.21,0.04,0.21,0.07,0.17,0.12,0.14,0.10,0.10,0.09,0.08,0.18,0.01,0.01,0.58,0.35
Barton,0.18,0.32,0.20,0.16,0.10,0.04,0.36,0.47,0.15,0.03,"1,601.00",462.00,"2,167.00",0.30,0.29,0.37,0.01,0.03,0.01,0.49,0.19,0.59,0.58,0.16,0.03,0.18,0.06,0.12,0.24,0.12,0.10,0.15,0.10,0.06,0.10,0.01,0.01,0.84,0.48
Bass,0.21,0.22,0.18,0.20,0.15,0.05,0.43,0.38,0.18,0.02,"1,033.00",220.00,"1,257.00",0.35,0.32,0.30,0.01,0.03,0.03,0.12,0.04,0.06,0.46,0.21,0.04,0.22,0.07,0.12,0.19,0.14,0.12,0.12,0.11,0.07,0.12,0.01,0.01,0.60,0.40
Bean,0.23,0.23,0.21,0.19,0.11,0.03,0.36,0.47,0.15,0.01,"2,036.00",370.00,"2,000.00",0.31,0.42,0.24,0.01,0.02,0.02,0.22,0.07,0.17,0.60,0.16,0.04,0.15,0.05,0.15,0.27,0.11,0.11,0.19,0.07,0.03,0.05,0.02,0.01,0.78,0.54
Bendigo,0.23,0.21,0.19,0.20,0.14,0.05,0.41,0.40,0.18,0.02,"1,179.00",250.00,"1,400.00",0.35,0.36,0.25,0.01,0.03,0.02,0.09,0.03,0.05,0.47,0.21,0.04,0.20,0.08,0.12,0.21,0.14,0.12,0.12,0.10,0.06,0.12,0.01,0.01,0.66,0.45
Bennelong,0.20,0.29,0.21,0.17,0.10,0.04,0.34,0.51,0.13,0.02,"1,817.00",462.00,"2,207.00",0.31,0.30,0.36,0.01,0.02,0.00,0.48,0.19,0.49,0.62,0.15,0.03,0.16,0.04,0.14,0.34,0.10,0.08,0.15,0.09,0.03,0.05,0.01,0.01,0.89,0.58
